ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
126,Nov-17,South,Tamil Nadu,Navsrishti,"Group Fellow, Network / Alliance",Jan-17 - Oct-18,No Grant,Yes,"Daman and Diu,Dadra and Nagar Haveli,Karnataka",Jan-17 - Oct-18,Not-Available,N,Y,N,Y,Y,N,pradam
120,Nov-17,South,Tamil Nadu,Sneha,OTG,Sep-17 - Nov-17,No Grant,N/A,N/A,Sep-17 - Nov-17,Not-Available,N,N,N,N,N,N,N/A
118,Oct-17,South,Karnataka,Bharath,Implementing,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
117,Oct-17,South,Karnataka,Chetan Parmar,Fellowship,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
113,Oct-17,South,Karnataka,Pradeep Tester,Implementing,Oct-17 - Oct-17,No Grant,Yes,Puducherry,Oct-17 - Oct-17,Not-Available,N,Y,N,N,N,N,N/A
101,Oct-17,South,New Karnataka,Partner Create,Implementing,Aug-17 - Aug-17,No Grant,Yes,Puducherry,Aug-17 - Aug-17,Not-Available,N,Y,N,N,N,N,nothing
100,Sep-17,South,New Karnataka,Create,Fellowship,Jul-17 - Aug-17,No Grant,N/A,N/A,Jul-17 - Aug-17,Not-Available,N,N,N,N,N,N,N/A
99,Aug-17,South,New Karnataka,Partner Name Creation,Implementing,Aug-17 - Sep-17,No Grant,N/A,N/A,Aug-17 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
98,Aug-17,South,New Karnataka,Karthiktestfive,Implementing,Aug-17 - Aug-17,"75,000.00",Yes,Lakshadweep,Aug-17 - Aug-17,Available,N,Y,N,N,N,N,N/A
50,Jun-17,South,Delhi,New Meal Partner1,"Group Fellow, Network / Alliance",Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
