ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
129,Nov-17,North-East,Manipur,Sudhakar,Implementing,Nov-17 - Nov-17,No Grant,N/A,N/A,Nov-17 - Nov-17,Not-Available,N,N,N,N,N,N,N/A
118,Oct-17,South,Karnataka,Bharath,Implementing,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
115,Oct-17,Union Territory,Dadra and Nagar Haveli,Ramya,Implementing,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
114,Oct-17,National (HO),All States,Raj Kumar,Implementing,Oct-17 - Oct-17,"32,12,312.00",Yes,Lakshadweep,Oct-17 - Oct-17,Not-Available,N,N,N,Y,N,N,N/A
103,Nov-17,East,Bihar,Tharun,Implementing,Aug-17 - Aug-17,"3,20,000.00",Yes,"Lakshadweep,Dadra and Nagar Haveli",Aug-17 - Aug-17,Available,N,N,Y,N,N,N,N/A
101,Oct-17,South,New Karnataka,Partner Create,Implementing,Aug-17 - Aug-17,No Grant,Yes,Puducherry,Aug-17 - Aug-17,Not-Available,N,Y,N,N,N,N,nothing
99,Aug-17,South,New Karnataka,Partner Name Creation,Implementing,Aug-17 - Sep-17,No Grant,N/A,N/A,Aug-17 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
98,Aug-17,South,New Karnataka,Karthiktestfive,Implementing,Aug-17 - Aug-17,"75,000.00",Yes,Lakshadweep,Aug-17 - Aug-17,Available,N,Y,N,N,N,N,N/A
97,Aug-17,East,Odisha,Partner Name Profile,Implementing,Aug-17 - Aug-17,No Grant,Yes,"Karnataka,Delhi",Aug-17 - Aug-17,Not-Available,N,N,Y,Y,N,N,remarks
80,Jun-17,East,Odisha,Karthiktestfour,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
77,Jun-17,North,Uttar Pradesh,Sanjay Chimanlal Sheth,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
76,Jun-17,North,Jammu and Kashmir,Doddaballapura,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
75,Jun-17,North,Uttar Pradesh,Karthiktestone,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
71,Jun-17,East,West Bengal,Tetingtwo,Implementing,Jun-17 - Jun-17,No Grant,N/A,N/A,Jun-17 - Jun-17,Not-Available,N,N,N,N,N,N,N/A
63,Jun-17,North,Jammu and Kashmir,Partner Profile Creation,Implementing,Jun-17 - Jul-17,No Grant,No,"Maharashtra,Mizoram,Kerala,Rajasthan,Nagaland,Rajasthan,Odisha,Bihar,Maharashtra,West Bengal,Gujarat,Goa,Manipur,Karnatakakarnatala,Andhra Pradesh,Karnataka,Jammu & Kashmir,Karnatakarajya,Delhi,Madhya Pradesh,Haryana,Punjab,Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Uttar Pradesh,Gujarat,Jharkand,Madhya Pradesh,Telangana,Chhattisgarh,Tamilnadu,Tripura,New Delhi",Jun-17 - Jul-17,Not-Available,Y,N,N,N,N,N,N/A
48,Sep-17,North,Jammu & Kashmir,karthikeyan,Implementing,Aug-17 - Aug-20,"54,50,00,000.00",N/A,N/A,Aug-17 - Aug-20,Available,Y,Y,N,Y,N,N,N/A
