ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
131,Nov-17,South,Andhra Pradesh,Srs Two,Implementing,Oct-17 - Nov-17,No Grant,N/A,N/A,Oct-17 - Nov-17,Not-Available,N,N,N,N,N,N,N/A
0,Nov-17,N/A,N/A,Srs,N/A,N/A - N/A,No Grant,N/A,N/A,N/A - N/A,Not-Available,N,N,N,N,N,N,N/A
129,Nov-17,North-East,Manipur,Sudhakar,Implementing,Nov-17 - Nov-17,No Grant,N/A,N/A,Nov-17 - Nov-17,Not-Available,N,N,N,N,N,N,N/A
125,Nov-17,North,Uttarakhand,Guria,Fellowship,Jan-17 - Dec-20,"7,03,091.00",Yes,Lakshadweep,Jan-17 - Dec-20,Available,Y,Y,N,Y,N,N,N/A
123,Nov-17,North,Rajasthan,Mahila Jan Adhikar Samiti,"Group Fellow, Network / Alliance",Oct-17 - Nov-17,No Grant,Yes,Lakshadweep,Oct-17 - Nov-17,Not-Available,Y,N,Y,Y,N,N,N/A
122,Oct-17,West,Gujarat,Samata Charitable Trust,Partnership Status,Oct-17 - Oct-17,No Grant,Yes,"Daman and Diu,Lakshadweep,Abcd",Oct-17 - Oct-17,Not-Available,N,Y,Y,N,N,Y,N/A
121,Nov-17,East,Jharkand,Jago Foundation,"Group Fellow, Network / Alliance",Oct-17 - Nov-17,No Grant,N/A,N/A,Oct-17 - Nov-17,Not-Available,N,N,N,N,N,N,N/A
118,Oct-17,South,Karnataka,Bharath,Implementing,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
117,Oct-17,South,Karnataka,Chetan Parmar,Fellowship,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
116,Oct-17,Union Territory,Daman and Diu,Sham Sundar,Resource Org,Oct-17 - Oct-17,"15,000.00",No,"Daman and Diu,Puducherry,Abcd",Oct-17 - Oct-17,Available,Y,N,Y,Y,N,N,N/A
115,Oct-17,Union Territory,Dadra and Nagar Haveli,Ramya,Implementing,Oct-17 - Oct-17,No Grant,N/A,N/A,Oct-17 - Oct-17,Not-Available,N,N,N,N,N,N,N/A
114,Oct-17,National (HO),All States,Raj Kumar,Implementing,Oct-17 - Oct-17,"32,12,312.00",Yes,Lakshadweep,Oct-17 - Oct-17,Not-Available,N,N,N,Y,N,N,N/A
103,Nov-17,East,Bihar,Tharun,Implementing,Aug-17 - Aug-17,"3,20,000.00",Yes,"Lakshadweep,Dadra and Nagar Haveli",Aug-17 - Aug-17,Available,N,N,Y,N,N,N,N/A
101,Oct-17,South,New Karnataka,Partner Create,Implementing,Aug-17 - Aug-17,No Grant,Yes,Puducherry,Aug-17 - Aug-17,Not-Available,N,Y,N,N,N,N,nothing
100,Sep-17,South,New Karnataka,Create,Fellowship,Jul-17 - Aug-17,No Grant,N/A,N/A,Jul-17 - Aug-17,Not-Available,N,N,N,N,N,N,N/A
99,Aug-17,South,New Karnataka,Partner Name Creation,Implementing,Aug-17 - Sep-17,No Grant,N/A,N/A,Aug-17 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
98,Aug-17,South,New Karnataka,Karthiktestfive,Implementing,Aug-17 - Aug-17,"75,000.00",Yes,Lakshadweep,Aug-17 - Aug-17,Available,N,Y,N,N,N,N,N/A
97,Aug-17,East,Odisha,Partner Name Profile,Implementing,Aug-17 - Aug-17,No Grant,Yes,"Karnataka,Delhi",Aug-17 - Aug-17,Not-Available,N,N,Y,Y,N,N,remarks
94,Jul-17,North,Himachal Pradesh,Kumar,"Group Fellow, Network / Alliance",Jul-17 - Aug-17,No Grant,No,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jul-17 - Aug-17,Not-Available,Y,Y,Y,N,N,N,Remarks
93,Sep-17,North-East,Meghalaya,Karthik,Fellowship,May-17 - Sep-20,"3,60,48,201.00",Yes,Delhi,May-17 - Sep-20,Available,Y,Y,Y,Y,N,N,asdasd
90,Sep-17,East,Mizoram,Akshay,OTG,Jun-17 - Jul-17,No Grant,Yes,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jun-17 - Jul-17,Not-Available,Y,Y,Y,N,N,N,Remarks
89,Jul-17,East,Bihar,Partner Karthik,"Group Fellow, Network / Alliance",Jun-17 - Jul-17,No Grant,N/A,N/A,Jun-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
88,Jul-17,North,Jammu and Kashmir,Avinash,Resource Org,Jun-17 - Jul-17,No Grant,N/A,N/A,Jun-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
87,Jun-17,West,Rajasthan,Pradeep Partner Profile,"Group Fellow, Network / Alliance",Jun-17 - Jun-17,No Grant,No,"Jammu & Kashmir,Delhi",Jun-17 - Jun-17,Not-Available,Y,N,N,N,N,N,Remarks
