ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
27,Nov-17,South,Tamil Nadu,Pertner Compt creation,Fellowship,Oct-17 - Dec-17,No Grant,N/A,N/A,Oct-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
26,Nov-17,North,Manipur,New Partner Comp,Implementing,Oct-17 - Dec-17,No Grant,N/A,N/A,Oct-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
23,Nov-17,South,Andhra Pradesh,Gramya Vikas Manch,Implementing,Oct-17 - Oct-18,No Grant,Yes,Andhra Pradesh,Oct-17 - Oct-18,Not-Available,Y,Y,Y,N,N,N,N/A
21,Oct-17,South,Karnataka,Karthik Partner,Alliance,Aug-17 - Dec-17,No Grant,N/A,N/A,Aug-17 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
18,Sep-17,South,Karnataka,Shamsundar,Resource Org,Sep-17 - Sep-17,No Grant,N/A,N/A,Sep-17 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
17,Sep-17,South,Karnataka,Sham,Implementing,Sep-17 - Sep-17,No Grant,Yes,Tamilnadu,Sep-17 - Sep-17,Not-Available,Y,Y,N,Y,N,N,N/A
16,Sep-17,South,Karnataka,Samagraseva,Implementing,Sep-17 - Sep-17,No Grant,N/A,N/A,Sep-17 - Sep-17,Not-Available,N,N,N,N,N,N,N/A
13,Aug-17,National (HO),HO,Ccl,Resource Org,Jan-17 - Dec-19,"45,000.00",Yes,"Karnataka,Andhra Pradesh,Delhi",Jan-17 - Dec-19,Not-Available,N,N,Y,Y,N,N,N/A
10,Aug-17,South,Andhra Pradesh,Srama,Implementing,Aug-17 - Dec-18,"50,000.00",No,Andhra Pradesh,Aug-17 - Dec-18,Not-Available,Y,N,N,Y,N,N,N/A
7,Aug-17,South,Telangana,Svs,Implementing,Aug-17 - Aug-17,No Grant,N/A,N/A,Aug-17 - Aug-17,Not-Available,N,N,N,N,N,N,N/A
6,Aug-17,North,Manipur,Xyz,Fellowship,Aug-17 - Aug-17,No Grant,N/A,N/A,Aug-17 - Aug-17,Not-Available,N,N,N,N,N,N,N/A
5,Jul-17,North,Manipur,Duvs,Implementing,Jul-17 - Jul-17,No Grant,N/A,N/A,Jul-17 - Jul-17,Not-Available,N,N,N,N,N,N,N/A
