ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
142,Feb-18,North,Madhya Pradesh,Anandilal,Fellowship,Jan-17 - Dec-18,No Grant,Yes,Mumbai,Jan-17 - Dec-18,Not-Available,Y,N,Y,Y,Y,N,N/A
141,Feb-18,North,Rajasthan,Kotra Adivasi Sansthan,Implementing,Jan-17 - Dec-18,No Grant,N/A,N/A,Jan-17 - Dec-18,Not-Available,N,N,N,N,N,N,N/A
140,Feb-18,South,Telangana,Shramika Vikasa Kendram,Implementing,Jul-97 - Feb-18,No Grant,N/A,N/A,Jul-97 - Feb-18,Not-Available,N,N,N,N,N,N,N/A
139,Jan-18,South,Telangana,Spandana Seva Samstha,Fellowship,Jan-18 - Jan-18,"2,50,000.00",No,Telangana,Jan-18 - Jan-18,Not-Available,N,Y,N,N,N,N,High prevalence of child labour
138,Jan-18,South,Andhra Pradesh,Seeds,Implementing,Jan-18 - Feb-18,No Grant,Yes,Andhra Pradesh,Jan-18 - Feb-18,Not-Available,Y,Y,Y,N,N,N,Coastal areas
137,Jan-18,South,Karnataka,Idea,Implementing,Jan-18 - Jan-18,No Grant,Yes,National(HO),Jan-18 - Jan-18,Not-Available,Y,N,N,Y,N,N,N/A
136,Jan-18,South,Tamil Nadu,Trees,Resource Orgs,Jan-18 - Nov-20,No Grant,Yes,Tamil Nadu,Jan-18 - Nov-20,Not-Available,N,Y,N,N,N,N,dsdfs
135,Jan-18,National,National(HO),National Law School,Resource Orgs,Jan-18 - Jan-18,No Grant,Yes,Karnataka,Jan-18 - Jan-18,Not-Available,Y,N,Y,N,N,N,N/A
134,Jan-18,South,Tamil Nadu,Vysarpadi Children Project,Implementing,Jan-18 - Jun-18,No Grant,Yes,Tamil Nadu,Jan-18 - Jun-18,Not-Available,Y,Y,N,N,N,N,xxx
133,Jan-18,South,Karnataka,Youth Forum Tumkur,Fellowship,Jan-18 - Jan-18,No Grant,No,Karnataka,Jan-18 - Jan-18,Not-Available,N,N,N,N,Y,N,N/A
132,Jan-18,National,National(HO),Eccd,Resource Orgs,Jul-15 - Jan-18,No Grant,Yes,Tamil Nadu,Jul-15 - Jan-18,Not-Available,Y,Y,N,N,N,N,N/A
131,Jan-18,South,Tamil Nadu,Word Trust,Implementing,Apr-13 - Jan-18,No Grant,N/A,N/A,Apr-13 - Jan-18,Not-Available,N,N,N,N,N,N,N/A
130,Jan-18,South,Tamil Nadu,Scsteds,Implementing,Jan-18 - Jun-24,No Grant,Yes,Tamil Nadu,Jan-18 - Jun-24,Not-Available,N,N,N,N,Y,N,dfadf
129,Jan-18,South,Andhra Pradesh,Help,Implementing,Jan-18 - Feb-18,No Grant,Yes,Telangana,Jan-18 - Feb-18,Not-Available,Y,N,N,N,N,N,N/A
