Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Hindi,Tamil,Bangla,Odiya, Ahomia
2,School Level Information,48,Category of School,R,2,68,Government / Local bodies,2,Government / Local bodies - शासन: केन्द्रीय और राज्य सरकारों तथा संगठनों द्वारा स्थापित,Government / Local bodies - அரசுப்பள்ளி/உள்ளாட்சி அமைப்புகள்,Government / Local bodies - সরকার / স্থানীয় সংস্থা,Government / Local bodies - ,Government / Local bodies - চৰকাৰ / স্থানীয় সংস্থা
2,School Level Information,48,Category of School,R,2,69,Private Unaided,2,Private Unaided - निजी (शासन से सहायता-प्राप्त नहीं),Private Unaided - தனியார் உதவியுடன்,Private Unaided - বেসরকারী অনাহুত,Private Unaided - ବେସରକାରୀ ଅଣଅନୁଦାନପ୍ରାପ୍ତ- ନିଜସ୍ୱ/ ଅନୁଦାନପ୍ରାପ୍ତ/ ସୋସାଇଟି ଦ୍ୱାରା ପରିଚାଳିତ,Private Unaided - প্ৰাইভেট ইউনাইদেদ- প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পূৰ্ণৰুপে পৰিচালিত
2,School Level Information,48,Category of School,R,2,70,Private aided,2,Private aided - निजी (शासन से सहायता-प्राप्त),Private aided - தனியார் உதவி,Private aided - বেসরকারী সাহায্যপ্রাপ্ত,"Private aided - ବେସରକାରୀ ଅନୁଦାନପ୍ରାପ୍ତ- ଏକ ଅନୁଦାନପ୍ରାପ୍ତ ବିଦ୍ୟାଳୟ, ଯାହା ବେସରକାରୀ ହୋଇଥାଇପାରେ, କିନ୍ତୁ ସରକାରୀ ଅନୁଦାନ ଏବଂ ସୁବିଧା ସୁଯୋଗ ପାଉଥିବ ",Private aided - ( প্ৰাইভেট এডেদ - প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পৰিচালিত কিন্তু চৰকাৰৰ সাহায্য প্ৰাপ্ত
2,School Level Information,49,Type of School,R,2,71,For only girls,2,For only girls - केवल लड़कों के लिये,For only girls - பெண்கள் மட்டுமே,For only girls - মেয়েরা,For Only Girls -ଅଁଳୟ ଫୋର ଗିରଲସ,অকল ছোৱালীৰ বাবে
2,School Level Information,49,Type of School,R,2,72,For only boys,2,For only boys - केवल लड़कियों के लिये,For only boys - சிறுவர்களுக்கு மட்டுமே,For only boys - ছেলেদের,Only for Boys - ଅଁଳୟ ଫୋର ବୟସ ,অকল ল’ৰাৰ বাবে
2,School Level Information,49,Type of School,R,2,73,For both boys and girls,2,For both boys and girls - स्कूल का प्रकार,For both boys and girls - இருபாலர் பள்ளி (ஆண் & பெண் குழந்தைகள்),For both boys and girls ছেলে ও মেয়েদের উভয়ের জন্যই,For both boys and girls,ল’ৰা আৰু ছোৱালী উভয়ে
2,School Level Information,53,If the official medium matches with local language,R,2,74,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,53,If the official medium matches with local language,R,2,75,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,88,Atleast one Female teacher available,S,2,76,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,88,Atleast one Female teacher available,S,2,77,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,78,Anganwaadi,2,Anganwaadi - आँगनवाड़ी,Anganwaadi - அங்கன்வாடி,Anganwari অংগানবারি,Anganwaadi,অংগনাবাড়ীৰ ধৰণ
2,School Level Information,92,Mid Day meal cooked by,S,2,82,Inside/adjoining the school premises and by the school,2,Inside/adjoining the school premises and by the school - स्कूल के द्वारा स्कूल परिसर के भीतर/नजदीक,"Inside/adjoining the school premises and by the school - பள்ளிக்கூட வளாகத்திற்குள்ளும், பள்ளிக்குள்ளும் உள்ளே",Inside/adjoining the school premises and by the school স্কুল প্রাঙ্গন এবং স্কুলের ভিতর/সংলগ্ন ,Inside/adjoining the school premises and by the school,বিদ্যালয়ৰ দ্বাৰা চৌহদৰ ভিতৰত অথবা চৌহদৰ লগালগিকৈ মধ্যাহ্নভোজন ৰন্ধা হয়
2,School Level Information,92,Mid Day meal cooked by,S,2,83,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO,2,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा स्कूल परिसर के भीतर/नजदीक,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - பள்ளிக்குள்/பள்ளியையொட்டி தொண்டு நிறுவனத்தால்/தனியார் அமைப்பு/சமுதாயம் சார்ந்த அமைப்பு,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO স্কুল প্রাঙ্গন/সংলগ্ন এবং এনজিও/প্রাইভেট এজেন্সি/cbo ,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO-,চৌহদৰ ভিতৰত অথবা চৌহদৰ লগালগিকৈ কোনো বেচৰকাৰী সংস্থা আদিৰ দ্বাৰা মধ্যাহ্নভোজন ৰন্ধা হয়
2,School Level Information,92,Mid Day meal cooked by,S,2,84,Outside the school premises by NGO/Pvt Agency/CBO,2,Outside the school premises by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा एवं स्कूल परिसर के बाहर,Outside the school premises by NGO/Pvt Agency/CBO - பள்ளி வளாகத்திற்கு வெளியே பள்ளியால்,Outside the school premises by NGO/Pvt Agency/CBO এনজিও/প্রাইভেট এজেন্সি/সিএসবিও-এর স্কুলের সীমানার বাইরে,Outside the school premises by NGO/Pvt Agency/CBO,চৌহদৰ বাহিৰত কোনো বেচৰকাৰী সংস্থা আদিৰ দ্বাৰা মধ্যাহ্নভোজন ৰন্ধা হয়
2,School Level Information,93,Mid Day meal cook available,S,2,85,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,93,Mid Day meal cook available,S,2,86,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,94,Mid Day meal helper available,S,2,87,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,94,Mid Day meal helper available,S,2,88,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,95,Separate cleaning staff for MDM,S,2,89,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,95,Separate cleaning staff for MDM,S,2,90,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,96,School building available,S,2,91,"Yes, Own Building",2,"Yes, Own Building - हाँ, स्कूल की स्वयं का भवन है ","Yes, Own Building - ஆம், சொந்த கட்டிடத்தில் ","Yes, Own Building - হাঁ","Yes, Own Building",নিজা ঘৰ থকা
2,School Level Information,96,School building available,S,2,92,"No, building not available or broken(classes conducted in open)",2,"No, building not available or broken(classes conducted in open) - नहीं, भवन उपलब्ध नहीं है या टूटा है ","No, building not available or broken(classes conducted in open) - இல்லை, கட்டிடம் இல்லை/உடைந்த கட்டிடம் (வகுப்புகள் திறந்தவெளியில் நடத்தபடுகின்றன) ","No, building not available or broken(classes conducted in open) -না, বিল্ডিং উপলভ্য নয় বা ভাঙ্গা (খোলা ক্লাস)","No, building not available or broken(classes conducted in open)","নহয়, নিজা ঘৰৰ সুবিধা নাই (খোলা ভাৱে পাঠদান হয়)"
2,School Level Information,97,Toilet for children,R,2,93,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,97,Toilet for children,R,2,94,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,98,Separate Toilet for Girls,R,2,95,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয় 
2,School Level Information,98,Separate Toilet for Girls,R,2,96,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,99,Water available in Toilet,S,2,97,"Yes, running water in the toilet",2,"Yes, running water in the toilet - हाँ,शौचालय में पानी चालू","Yes, running water in the toilet - ஆம், கழிவறையில் தண்ணீர் இருக்கிறது ","Yes, running water in the toilet- হ্যাঁ, টয়লেটে জল চলছে ","Yes, running water in the toilet",প্ৰস্ৰাৱগাৰত পানীৰ সুবিধা আছেনে
2,School Level Information,99,Water available in Toilet,S,2,98,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নাই
2,School Level Information,100,Boundary wall available,R,2,99,"Yes, broken/ incomplete",2,"Yes, broken/ incomplete - हाँ, टूटी हुई/अधूरी ","Yes, broken/ incomplete - ஆம், உடைந்த, முழுமையற்ற ","Yes, broken/ incomplete - হাঁ","Yes, broken/ incomplete","আছে, সম্পূৰ্ণ হোৱা নাই"
2,School Level Information,100,Boundary wall available,R,2,100,No boundary wall,2,No boundary wall - कोई चहारदीवारी नहीं,No boundary wall - எல்லை எல்லை இல்லை,No boundary wall - কোনো সীমানা প্রাচীর নেই ,No boundary wall,চাৰিবেৰ নথকা 
2,School Level Information,101,Library available,R,0,101,Yes,2,,,Yes হ্যাঁ ,Yes - ହଁ ,হয়
2,School Level Information,101,Library available,R,0,102,No,2,,,No না ,No - ନାହିଁ,নহয়
2,School Level Information,102,Libraray available,R,2,103,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,102,Libraray available,R,2,104,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,103,Playground available,R,2,105,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,103,Playground available,R,2,106,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,104,Separate kitchen with shed,R,2,107,Yes,2,Yes- हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,104,Separate kitchen with shed,R,2,108,No,2,No- नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,105,Disable friendly with ramp,R,2,109,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,105,Disable friendly with ramp,R,2,110,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,106,Availablity of Drinking Water,R,2,111,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,106,Availablity of Drinking Water,R,2,112,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,107,Availability of Electricity,R,2,113,"Yes, but supply intermittent",2,"Yes, but supply intermittent - हाँ, लेकिन बाधित प्रदाय ","Yes, but supply intermittent - ஆம் ஆனால் விட்டுவிட்டு இருக்கிறது","Yes, but supply intermittent - হ্যাঁ, কিন্তু যোগান সবিরাম ","Yes, but supply intermittent",আছে কিন্তু কাৰ্যক্ষম নহয়
2,School Level Information,107,Availability of Electricity,R,2,114,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,109,Availability of Science lab,R,2,115,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,109,Availability of Science lab,R,2,116,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
2,School Level Information,110,School management commitee constituted,R,2,117,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
2,School Level Information,110,School management commitee constituted,R,2,118,No,2,No - नहीं,No - இல்லை,No - না,No - ନାହିଁ,No - নহয়
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,119,Yes,2,Yes - हाँ,Yes - ஆம்,Yes - হ্যাঁ ,Yes - ହଁ,Yes - হয়
