Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,Choice Id,Choice Text,Choice Active Status,Kannada,Hindi,Tamil,Telugu,Bangla,Odiya,Assamese - Ahomia,
2,School Level Information,48,Category of School,R,2,68,Government / Local bodies,2,Government / Local bodies - ಸರ್ಕಾರಿ,Government / Local bodies -  शासन: केन्द्रीय और राज्य सरकारों तथा संगठनों द्वारा स्थापित,Government / Local bodies -  அரசுப்பள்ளி/உள்ளாட்சி அமைப்புகள் ,Government / Local bodies - ప్రభుత్వ పాఠశాల, ,Government / Local bodies -  அரசுப்பள்ளி/உள்ளாட்சி அமைப்புகள் ,Government / Local bodies - সরকার / স্থানীয় সংস্থা,
2,School Level Information,48,Category of School,R,2,69,Private Unaided,2,Private Unaided - ಖಾಸಗಿ ಅನುದಾನರಹಿತ ,Private Unaided - निजी (शासन से सहायता-प्राप्त नहीं),Private Unaided - தனியார் உதவியுடன்,Private Unaided -  ప్రైవేటు  అన్‌ఎయిడెడ్‌,Private Unaided - বেসরকারী অনাহুত,Private Unaided - ବେସରକାରୀ ଅଣଅନୁଦାନପ୍ରାପ୍ତ- ନିଜସ୍ୱ/ ଅନୁଦାନପ୍ରାପ୍ତ/ ସୋସାଇଟି ଦ୍ୱାରା ପରିଚାଳିତ,Private Unaided - প্ৰাইভেট ইউনাইদেদ- প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পূৰ্ণৰুপে পৰিচালিত,
2,School Level Information,48,Category of School,R,2,70,Private aided,2,Private aided - ಖಾಸಗಿ ಅನುದಾನಿತ ,Private aided - निजी (शासन से सहायता-प्राप्त),Private aided - தனியார் உதவி,Private aided - ప్రైవేట్ ఎయిడెడ్,Private aided - বেসরকারী সাহায্যপ্রাপ্ত,"Private aided - ବେସରକାରୀ ଅନୁଦାନପ୍ରାପ୍ତ- ଏକ ଅନୁଦାନପ୍ରାପ୍ତ ବିଦ୍ୟାଳୟ, ଯାହା ବେସରକାରୀ ହୋଇଥାଇପାରେ, କିନ୍ତୁ ସରକାରୀ ଅନୁଦାନ ଏବଂ ସୁବିଧା ସୁଯୋଗ ପାଉଥିବ   ",Private aided - ( প্ৰাইভেট এডেদ - প্ৰাইভেট বা ট্ৰাষ্টৰ দ্বাৰা পৰিচালিত কিন্তু চৰকাৰৰ সাহায্য প্ৰাপ্ত,
2,School Level Information,49,Type of School,R,2,71,For only girls,2,For only girls - ಬಾಲಕಿಯರಿಗೆ ಮಾತ್ರ ,For only girls -  केवल लड़कों के लिये ,For only girls - பெண்கள் மட்டுமே,For only girls - బాలికలకు మాత్రమే,For only girls - মেয়েরা,,,
2,School Level Information,49,Type of School,R,2,72,For only boys,2,For only boys - ಬಾಲಕರಿಗೆ ಮಾತ್ರ,For only boys -  केवल लड़कियों के लिये ,For only boys  - சிறுவர்களுக்கு மட்டுமே,For only boys - అబ్బాయిలకు మాత్రమే,For only boys - ছেলেদের,,,
2,School Level Information,49,Type of School,R,2,73,For both boys and girls,2,For both boys and girls -  ಬಾಲಕ ಮತ್ತು ಬಾಲಕಿಯರಿಬ್ಬರಿಗೂ (ಕೋ-ಎಡ್ ಅಥವಾ ಹಿಂದಿಯಲ್ಲಿ ಸಹಶಿಕ್ಷಣ) ,For both boys and girls - स्कूल का प्रकार,For both boys and girls - இருபாலர் பள்ளி (ஆண் & பெண் குழந்தைகள்) ,For both boys and girls - బాలురు మరియు బాలికల పాఠశాల (సహవిద్య - కో-ఎడుకేషన్‌)     ,,,,
2,School Level Information,53,If the official medium matches with local language,R,2,74,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,53,If the official medium matches with local language,R,2,75,No ,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No  - না,No  - ନାହିଁ,No  - নহয়,
2,School Level Information,88,Atleast one Female teacher available,S,2,76,Yes,2,Yes - ಹೌದು,Yes - हाँ ,Yes - ஆம் ,Yes - ఉన్నది,Yes - হাঁ,Yes - ହଁ,Yes - হয় ,
2,School Level Information,88,Atleast one Female teacher available,S,2,77,No ,2,No - ಇಲ್ಲ,No - नहीं,No - இல்லை ,No - లేదు,No  - না,No  - ନାହିଁ,No  - নহয়,
