Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Odiya,
2,School Level Information,48,Category of School,R,2,68,Government / Local bodies,2,Government / Local bodies - ,
2,School Level Information,48,Category of School,R,2,69,Private Unaided,2,Private Unaided - ବେସରକାରୀ ଅଣଅନୁଦାନପ୍ରାପ୍ତ- ନିଜସ୍ୱ/ ଅନୁଦାନପ୍ରାପ୍ତ/ ସୋସାଇଟି ଦ୍ୱାରା ପରିଚାଳିତ,
2,School Level Information,48,Category of School,R,2,70,Private aided,2,"Private aided - ବେସରକାରୀ ଅନୁଦାନପ୍ରାପ୍ତ- ଏକ ଅନୁଦାନପ୍ରାପ୍ତ ବିଦ୍ୟାଳୟ, ଯାହା ବେସରକାରୀ ହୋଇଥାଇପାରେ, କିନ୍ତୁ ସରକାରୀ ଅନୁଦାନ ଏବଂ ସୁବିଧା ସୁଯୋଗ ପାଉଥିବ   ",
2,School Level Information,49,Type of School,R,2,71,For only girls,2,For Only Girls -କେବଳ ଝିଅ,
2,School Level Information,49,Type of School,R,2,72,For only boys,2, Only for Boys - କେବଳ ପୁଅ,
2,School Level Information,49,Type of School,R,2,73,For both boys and girls,2,For both boys and girls - ଉଭୟ ପୁଅ ଝିଅ,
2,School Level Information,53,If the official medium matches with local language,R,2,74,Yes,2,Yes - ହଁ,
2,School Level Information,53,If the official medium matches with local language,R,2,75,No,2,No  - ନାହିଁ,
2,School Level Information,88,Atleast one Female teacher available,S,2,76,Yes,2,Yes - ହଁ,
2,School Level Information,88,Atleast one Female teacher available,S,2,77,No,2,No  - ନାହିଁ,
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,78,Anganwaadi,2,Anganwaadi - ଅଙ୍ଗନବାଡି,
2,School Level Information,92,Mid Day meal cooked by,S,2,82,Inside/adjoining the school premises and by the school,2,Inside/adjoining the school premises and by the school :ବିଦ୍ୟାଳୟ ପରିସର ଭିତରେ/ ବାହାରେ,
2,School Level Information,92,Mid Day meal cooked by,S,2,83,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO,2,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO-,
2,School Level Information,92,Mid Day meal cooked by,S,2,84,Outside the school premises by NGO/Pvt Agency/CBO,2,Outside the school premises by NGO/Pvt Agency/CBO,
