Form Id,Form Name,Question Id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Hindi,Gujarthi,
2,School Level Information,48,Category of School,R,2,68,Government / Local bodies,2,Government / Local bodies -  शासन: केन्द्रीय और राज्य सरकारों तथा संगठनों द्वारा स्थापित,Government / Local bodies-સરકારી / સ્થાનિક સંસ્થાઓ,
2,School Level Information,48,Category of School,R,2,69,Private Unaided,2,Private Unaided - निजी (शासन से सहायता-प्राप्त नहीं),Private unaided - ખાનગી સહાય ન મેળવતી,
2,School Level Information,48,Category of School,R,2,70,Private aided,2,Private aided - निजी (शासन से सहायता-प्राप्त),Private aided ખાનગી સહાયક,
2,School Level Information,49,Type of School,R,2,71,For only girls,2,For only girls -  केवल लड़कों के लिये,For only girls - માત્ર છોકરીયો માટે,
2,School Level Information,49,Type of School,R,2,72,For only boys,2,For only boys -  केवल लड़कियों के लिये,For only boys - માત્ર છોકરાઓ માટે,
2,School Level Information,49,Type of School,R,2,73,For both boys and girls,2,For both boys and girls - स्कूल का प्रकार,For both boys and girls - બંને માટે,
2,School Level Information,53,If the official medium matches with local language,R,2,74,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,53,If the official medium matches with local language,R,2,75,No,2,No - नहीं,No  - ના,
2,School Level Information,88,Atleast one Female teacher available,S,2,76,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,88,Atleast one Female teacher available,S,2,77,No,2,No - नहीं,No  - ના,
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,78,Anganwaadi,2,Anganwaadi - आँगनवाड़ी,Anganwaadi આંગણવાડી,
2,School Level Information,92,Mid Day meal cooked by,S,2,82,Inside/adjoining the school premises and by the school,2,Inside/adjoining the school premises and by the school - स्कूल के द्वारा स्कूल परिसर के भीतर/नजदीक,Inside/adjoining the school premises and by the school - શાળા દ્વારા શાળાની અંદર/નજીક,
2,School Level Information,92,Mid Day meal cooked by,S,2,83,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO,2,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा स्कूल परिसर के भीतर/नजदीक,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - સ્વૈચ્છિક સંસ્થા/ ખાનગી સંસ્થા/સીબીઓ દ્વારા શાળાની અંદર/નજીક,
2,School Level Information,92,Mid Day meal cooked by,S,2,84,Outside the school premises by NGO/Pvt Agency/CBO,2,Outside the school premises by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा एवं स्कूल परिसर के बाहर,Outside the school premises by NGO/Pvt Agency/CBO - સ્વૈચ્છિક સંસ્થા/ ખાનગી સંસ્થા/સીબીઓ દ્વારા શાળાની બહાર,
2,School Level Information,93,Mid Day meal cook available,S,2,85,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,93,Mid Day meal cook available,S,2,86,No,2,No - नहीं,No  - ના,
2,School Level Information,94,Mid Day meal helper available,S,2,87,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,94,Mid Day meal helper available,S,2,88,No,2,No - नहीं,No - ના,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,89,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,90,No,2,No - नहीं,No - ના,
2,School Level Information,96,School building available,S,2,91,"Yes, Own Building",2,"Yes, Own Building - हाँ, स्कूल की स्वयं का भवन है ","Yes, Own Building - હા, પોતાનું મકાન",
2,School Level Information,96,School building available,S,2,92,"No, building not available or broken(classes conducted in open)",2,"No, building not available or broken(classes conducted in open) - नहीं, भवन उपलब्ध नहीं है या टूटा है ","No, building not available or broken(classes conducted in open)  ના, મકાન ઉપલબ્ધ નથી અથવા તૂટેલું (ખુલ્લામાં વર્ગો)",
2,School Level Information,97,Toilet for children,R,2,93,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,97,Toilet for children,R,2,94,No,2,No - नहीं,No - ના,
2,School Level Information,98,Separate Toilet for Girls,R,2,95,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,98,Separate Toilet for Girls,R,2,96,No,2,No - नहीं,No - ના,
2,School Level Information,99,Water available in Toilet,S,2,97,"Yes, running water in the toilet",2,"Yes, running water in the toilet - हाँ,शौचालय में पानी चालू","Yes, running water in the toilet - હા, શૌચાલય પાણી સાથે-",
2,School Level Information,99,Water available in Toilet,S,2,98,No,2,No - नहीं,No - ના,
2,School Level Information,100,Boundary wall available,R,2,99,"Yes, broken/ incomplete",2,"Yes, broken/ incomplete - हाँ, टूटी हुई/अधूरी ","Yes, broken/ incomplete - હા, તૂટી / અપૂર્ણ -",
2,School Level Information,100,Boundary wall available,R,2,100,No boundary wall,2,No boundary wall - कोई चहारदीवारी नहीं,No boundary wall - ના વાડ/દીવાલ,
2,School Level Information,101,Library available,R,0,101,Yes,2,,Yes - હા,
2,School Level Information,101,Library available,R,0,102,No,2,,No - ના,
2,School Level Information,102,Libraray available,R,2,103,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,102,Libraray available,R,2,104,No,2,No - नहीं,No - ના,
2,School Level Information,103,Playground available,R,2,105,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,103,Playground available,R,2,106,No,2,No - नहीं,No - ના,
2,School Level Information,104,Separate kitchen with shed,R,2,107,Yes,2,Yes- हाँ,Yes - હા,
2,School Level Information,104,Separate kitchen with shed,R,2,108,No,2,No- नहीं,No - ના,
2,School Level Information,105,Disable friendly with ramp,R,2,109,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,105,Disable friendly with ramp,R,2,110,No,2,No - नहीं,No - ના,
2,School Level Information,106,Availablity of Drinking Water,R,2,111,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,106,Availablity of Drinking Water,R,2,112,No,2,No - नहीं,No - ના,
2,School Level Information,107,Availability of Electricity,R,2,113,"Yes, but supply intermittent",2,"Yes, but supply intermittent - हाँ, लेकिन बाधित प्रदाय ","Yes, but supply intermittent - હા, પરંતુ અપૂરતો પુરવઠો -",
2,School Level Information,107,Availability of Electricity,R,2,114,No,2,No - नहीं,No - ના,
2,School Level Information,109,Availability of Science lab,R,2,115,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,109,Availability of Science lab,R,2,116,No,2,No - नहीं,No - ના,
2,School Level Information,110,School management commitee constituted,R,2,117,Yes,2,Yes - हाँ,Yes - હા,
2,School Level Information,110,School management commitee constituted,R,2,118,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,119,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,120,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,121,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,122,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,123,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,124,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,118,AW Helper available,R,2,125,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,118,AW Helper available,R,2,126,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,128,Own Building available,R,2,127,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,128,Own Building available,R,2,128,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,129,Type of building,R,2,129,Pucca,2,Pucca - पक्का,Pucca - પાકું,
3,Anganwadi Centre Information,129,Type of building,R,2,130,Semi Pucca,2,Semi Pucca - आधा पक्का,Semi Pucca - અડધું પાકું,
3,Anganwadi Centre Information,129,Type of building,R,2,131,Kutchha,2,Kutchha - कच्चा,Kutchha-કાચું,
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,132,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,133,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,134,Within the premises/ adjoining the premises,2,Within the premises/ adjoining the premises - अहाते के भीतर/साथ लगा हुआ,Within the premises/ adjoining the premises -પોતાની જગ્યામાં/બાજુની જગ્યામાં,
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,135,At a distance from the premises,2,At a distance from the premises -  अहाते से दूरी पर,At a distance from the premises - પોતાની સ્થળથી અંતર,
3,Anganwadi Centre Information,132,Functional toilet available,R,2,136,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,132,Functional toilet available,R,2,137,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,138,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,133,Water available in toilets,R,2,139,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,140,Yes,2,Yes - हाँ,Yes - હા,
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,141,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,142,"Yes,  available and irregular",2,"Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes,  available and irregular -હા, ઉપલબ્ધ અને અનિયમિત -",
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,143,No,2,No - नहीं,No - ના,
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,144,"Yes,  available and irregular",2,"Yes, available and irregular -  हाँ, उपलब्थ लेकिन अनियमित ","Yes,  available and irregular -હા, ઉપલબ્ધ અને અનિયમિત -",
