ID,Code
238,"{""9"": ""પોષણ સ્થિતિ ""}"
238,"{""9"": ""પોષણ સ્થિતિ ""}"
238,"{""9"": ""પોષણ સ્થિતિ ""}"
239,"{""9"": ""શું ગ્રોથ મોનીટરીંગ ચાર્ટ અપડેટ કરવામાં આવે છે?""}"
239,"{""9"": ""શું ગ્રોથ મોનીટરીંગ ચાર્ટ અપડેટ કરવામાં આવે છે?""}"
240,"{""9"": ""રેફેરલ ""}"
240,"{""9"": ""રેફેરલ ""}"
241,"{""9"": ""જો હા ""}"
241,"{""9"": ""જો હા ""}"
241,"{""9"": ""જો હા ""}"
241,"{""9"": ""જો હા ""}"
242,"{""9"": ""શું રેફેરલ સેવા મેળવી છે?""}"
242,"{""9"": ""શું રેફેરલ સેવા મેળવી છે?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
243,"{""9"": ""જો ના તો કેમ નથી મેળવી?""}"
244,"{""9"": ""પૂરક પોષણ ""}"
244,"{""9"": ""પૂરક પોષણ ""}"
244,"{""9"": ""પૂરક પોષણ ""}"
244,"{""9"": ""પૂરક પોષણ ""}"
244,"{""9"": ""પૂરક પોષણ ""}"
192,"{""9"": ""આરોગ્ય કેન્દ્રનો પ્રકાર ""}"
192,"{""9"": ""આરોગ્ય કેન્દ્રનો પ્રકાર ""}"
192,"{""9"": ""આરોગ્ય કેન્દ્રનો પ્રકાર ""}"
192,"{""9"": ""આરોગ્ય કેન્દ્રનો પ્રકાર ""}"
192,"{""9"": ""આરોગ્ય કેન્દ્રનો પ્રકાર ""}"
194,"{""9"": ""ઇન્ક્યુબેટર ઉપલબ્ધ ""}"
194,"{""9"": ""ઇન્ક્યુબેટર ઉપલબ્ધ ""}"
195,"{""9"": ""નવજાત કોર્નર સેંટર (NBCC) ઉપલબ્ધ ""}"
195,"{""9"": ""નવજાત કોર્નર સેંટર (NBCC) ઉપલબ્ધ ""}"
196,"{""9"": ""બીમાર નવજાત કોર્નર સેંટર (SNCU) ઉપલબ્ધ ""}"
196,"{""9"": ""બીમાર નવજાત કોર્નર સેંટર (SNCU) ઉપલબ્ધ ""}"
197,"{""9"": ""કાર્યત NRC/MTC ઉપલબ્ધ ""}"
197,"{""9"": ""કાર્યત NRC/MTC ઉપલબ્ધ ""}"
199,"{""9"": ""ડેટા એન્ટ્રી ઓપરેટર ઉપલબ્ધ ""}"
199,"{""9"": ""ડેટા એન્ટ્રી ઓપરેટર ઉપલબ્ધ ""}"
200,"{""9"": ""ફાર્માસિસ્ટ ઉપલબ્ધ ""}"
200,"{""9"": ""ફાર્માસિસ્ટ ઉપલબ્ધ ""}"
201,"{""9"": ""સ્ટાફ નર્સ ઉપલબ્ધ ""}"
201,"{""9"": ""સ્ટાફ નર્સ ઉપલબ્ધ ""}"
202,"{""9"": ""એમ્બ્યુલન્સ સેવાઓ ઉપલબ્ધ ""}"
202,"{""9"": ""એમ્બ્યુલન્સ સેવાઓ ઉપલબ્ધ ""}"
203,"{""9"": ""રક્ત સંગ્રહ એકમ ઉપલબ્ધ ""}"
203,"{""9"": ""રક્ત સંગ્રહ એકમ ઉપલબ્ધ ""}"
206,"{""9"": ""પેડીએટ્રિશન ઉપલબ્ધ ""}"
206,"{""9"": ""પેડીએટ્રિશન ઉપલબ્ધ ""}"
208,"{""9"": ""ANM ઉપલબ્ધ""}"
208,"{""9"": ""ANM ઉપલબ્ધ""}"
209,"{""9"": ""સ્ત્રી આરોગ્ય કાર્યકર ઉપલબ્ધ ""}"
209,"{""9"": ""સ્ત્રી આરોગ્ય કાર્યકર ઉપલબ્ધ ""}"
210,"{""9"": ""મકાન માલિકનો કે ભાડે ""}"
210,"{""9"": ""મકાન માલિકનો કે ભાડે ""}"
217,"{""9"": ""શું પ્રસવ કરવામાં આવે છે ""}"
217,"{""9"": ""શું પ્રસવ કરવામાં આવે છે ""}"
218,"{""9"": ""પ્રસવ  અને રેફરલ માટે આરોગ્ય સુવિધાનું નિયુક્ત વર્ગ ""}"
218,"{""9"": ""પ્રસવ  અને રેફરલ માટે આરોગ્ય સુવિધાનું નિયુક્ત વર્ગ ""}"
218,"{""9"": ""પ્રસવ  અને રેફરલ માટે આરોગ્ય સુવિધાનું નિયુક્ત વર્ગ ""}"
219,"{""9"": ""શું ઉપલબ્ધ દવાઓની યાધી કેન્દ્ર ખાતે જાહેરમાં બહાર પ્રદર્શિત થાય છે કે કેમ?""}"
219,"{""9"": ""શું ઉપલબ્ધ દવાઓની યાધી કેન્દ્ર ખાતે જાહેરમાં બહાર પ્રદર્શિત થાય છે કે કેમ?""}"
220,"{""9"": ""પ્રશિક્ષણ ટેબલ ઉપલબ્ધ છે?""}"
220,"{""9"": ""પ્રશિક્ષણ ટેબલ ઉપલબ્ધ છે?""}"
221,"{""9"": ""પરીક્ષા માટે સ્ક્રીન/અલગ ઓરડો/ અલગ સ્થળ ઉપલબ્ધ?""}"
221,"{""9"": ""પરીક્ષા માટે સ્ક્રીન/અલગ ઓરડો/ અલગ સ્થળ ઉપલબ્ધ?""}"
222,"{""9"": ""પ્રસવ માટે ટેબલ ઉપલબ્ધ છે?""}"
222,"{""9"": ""પ્રસવ માટે ટેબલ ઉપલબ્ધ છે?""}"
223,"{""9"": ""બાળકો માટે વજન કાંટો ઉપલબ્ધ છે?""}"
223,"{""9"": ""બાળકો માટે વજન કાંટો ઉપલબ્ધ છે?""}"
224,"{""9"": ""પુખ્ત વયના લોકો માટે વજન કાંટો ઉપલબ્ધ છે? ""}"
224,"{""9"": ""પુખ્ત વયના લોકો માટે વજન કાંટો ઉપલબ્ધ છે? ""}"
225,"{""9"": ""કચરો નિકાલ માટે કન્ટેનર/ ડબ્બો ઉપલબ્ધ છે?""}"
225,"{""9"": ""કચરો નિકાલ માટે કન્ટેનર/ ડબ્બો ઉપલબ્ધ છે?""}"
226,"{""9"": ""સાધનોને જંતુરહિત કરવા માટે જંતુરહિત મશીન ઉપલબ્ધ છે?""}"
226,"{""9"": ""સાધનોને જંતુરહિત કરવા માટે જંતુરહિત મશીન ઉપલબ્ધ છે?""}"
227,"{""9"": ""પેશાબ પરીક્ષણ સુવિધા ઉપલબ્ધ છે?""}"
227,"{""9"": ""પેશાબ પરીક્ષણ સુવિધા ઉપલબ્ધ છે?""}"
228,"{""9"": ""કાર્યરત બીપી પરીક્ષણ ઉપકરણ ઉપલબ્ધ છે?""}"
228,"{""9"": ""કાર્યરત બીપી પરીક્ષણ ઉપકરણ ઉપલબ્ધ છે?""}"
229,"{""9"": ""રસી સંગ્રહની સુવિધા ઉપલબ્ધ  છે?""}"
229,"{""9"": ""રસી સંગ્રહની સુવિધા ઉપલબ્ધ  છે?""}"
405,"{""9"": ""કૌટુંબિક પ્રકાર ""}"
405,"{""9"": ""કૌટુંબિક પ્રકાર ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
409,"{""9"": ""ઉચ્ચતમ વર્ગ પાસ - કુટુંભ ના વડા ""}"
410,"{""9"": ""જ્ઞાતિ ""}"
410,"{""9"": ""જ્ઞાતિ ""}"
410,"{""9"": ""જ્ઞાતિ ""}"
410,"{""9"": ""જ્ઞાતિ ""}"
411,"{""9"": ""તમારી ઘર જમીન છે?""}"
411,"{""9"": ""તમારી ઘર જમીન છે?""}"
412,"{""9"": ""ઘરનો પ્રકાર ""}"
412,"{""9"": ""ઘરનો પ્રકાર ""}"
412,"{""9"": ""ઘરનો પ્રકાર ""}"
413,"{""9"": ""ધર્મ ""}"
413,"{""9"": ""ધર્મ ""}"
413,"{""9"": ""ધર્મ ""}"
413,"{""9"": ""ધર્મ ""}"
413,"{""9"": ""ધર્મ ""}"
413,"{""9"": ""ધર્મ ""}"
