Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Hindi,Gujarthi
2,School Level Information,44,Name of the School,T,0,Name of the School - स्कूल का नाम,Name of the School - શાળાનું નામ
2,School Level Information,45,School Name,T,0,School ID - स्कूल यूनिक आई डी,School ID - શાળા આઈડી
2,School Level Information,46,Lowest class in School,S,2,Lowest class in School - स्कूल की निम्नतम कक्षा,Lowest class in School - શાળામાં સૌથી નાનો વર્ગ
2,School Level Information,47,Highest class in school,S,2,Highest class in school - स्कूल की उच्चतम कक्षा,Highest class in school - શાળામાં ઉચ્ચતમ વર્ગ
2,School Level Information,48,Category of School,R,2,Category of School - स्कूल की श्रेणी,Category of School - શાળાની શ્રેણી
2,School Level Information,49,Type of School,R,2,Type of School - स्कूल का प्रकार,Type of School - શાળાનો પ્રકાર
2,School Level Information,50,Total number of room in School,T,2,Total number of room in School - स्कूल में कुल कमरों की संख्या,Total number of room in School - શાળામાં કુલ રૂમની સંખ્યા
2,School Level Information,51,Total number of class rooms,T,2,Total number of class rooms - अध्ययन कक्षों की कुल संख्या,Total number of class rooms - વર્ગ રૂમની કુલ સંખ્યા
2,School Level Information,52,Official medium of instruction,T,2,Official medium of instruction - शिक्षण का शासकीय माध्यम,Official medium of instruction - ભણાવવાનું સત્તાવાર માધ્યમ
2,School Level Information,53,If the official medium matches with local language,R,2,If the official medium matches with local language - क्या शिक्षण का शासकीय माध्यम स्थानीय भाषा से मेल खाता है,If the official medium matches with local language - શું સ્થાનિક ભાષા અને શાળામાં ભણાવવાનું માધ્યમ સરખું છે
2,School Level Information,54,Total SC Boys,T,2,Total SC Boys- कुल अ. जा. के लड़के,Total SC Boys - કુલ એસસી છોકરાઓ
2,School Level Information,55,Total SC Girls,T,2,Total SC Girls - कुल अ. जा. की लड़कियाँ,Total SC Girls - કુલ એસસી છોકરીઓ 
2,School Level Information,56,Total ST Boys,T,2,Total ST Boys - कुल अ. ज. जा. के लड़के,Total ST Boys - કુલ એસટી છોકરાઓ
2,School Level Information,57,Total ST Girls,T,2,Total ST Girls - कुल अ.ज. जा. की लड़कियाँ,Total ST Girls - કુલ એસટી છોકરીઓ 
2,School Level Information,58,Total OBC Boys,T,2,Total OBC Boys - कुल अ. पि. व. लड़के,Total OBC Boys - કુલ ઓબીસી છોકરાઓ
2,School Level Information,59,Total OBC Girls,T,2,Total OBC Girls - कुल अ. पि. व. लड़कियाँ,Total OBC Girls - કુલ ઓબીસી છોકરીઓ
2,School Level Information,60,Total Other Boys (Caste),T,2,Total Other Boys (Caste) - कुल अन्य लड़के,Total Other Boys (Caste) - કુલ અન્ય છોકરાઓ (જાતિ)
2,School Level Information,61,Total Other Girls (Caste),T,2,Total Other Girls (Caste) - कुल अन्य लड़कियाँ,Total Other Girls (Caste) - કુલ અન્ય છોકરીઓ (જાતિ)
2,School Level Information,62,Total Hindu Boys,T,2,Total Hindu Boys - कुल हिन्दू लड़के,Total Hindu Boys - કુલ હિન્દુ છોકરાઓ
2,School Level Information,63,Total Hindu Girls,T,2,Total Hindu Girls - कुल हिन्दू लड़कियाँ,Total Hindu Girls - કુલ હિન્દુ છોકરીઓ
2,School Level Information,64,Total Muslim Boys,T,2,Total Muslim Boys - कुल मुस्लिम लड़के,Total Muslim Boys - કુલ મુસ્લિમ છોકરાઓ
2,School Level Information,65,Total Muslim Girls,T,2,Total Muslim Girls - कुल मुस्लिम लड़कियाँ,Total Muslim Girls -કુલ મુસ્લિમ છોકરીઓ
2,School Level Information,66,Total Christian Boys,T,2,Total Christian Boys - कुल ईसाई लड़के,Total Christian Boys - કુલ ખ્રિસ્તી બોયઝ
2,School Level Information,67,Total Christian Girls,T,2,Total Christian Girls - कुल ईसाई लड़कियाँ,Total Christian Girls - કુલ ખ્રિસ્તી છોકરીઓ
2,School Level Information,68,Total Sikh Boys,T,2,Total Sikh Boys - कुल सिक्ख लड़के,Total Sikh Boys - કુલ શીખ છોકરાઓ
2,School Level Information,69,Total Sikh Girls,T,2,Total Sikh Girls - कुल सिक्ख लड़कियाँ,Total Sikh Girls - કુલ શીખ છોકરીઓ
2,School Level Information,70,Total Buddhist Boys,T,2,Total Buddhist Boys - कुल बौद्ध लड़के,Total Buddhist Boys - કુલ બૌદ્ધ છોકરાઓ
2,School Level Information,71,Total Buddhist Girls,T,2,Total Buddhist Girls - कुल बौद्ध लड़कियाँ,Total Buddhist Girls - કુલ બૌદ્ધ છોકરીઓ
