Form Id,Form Name,id,Question Name,Question Type,Question Active Status,ID,Choice Text,Choice Active Status,Hindi,Marathi,,,
2,School Level Information,48,Category of School,R,2,68,Government / Local bodies,2,Government / Local bodies -  शासन: केन्द्रीय और राज्य सरकारों तथा संगठनों द्वारा स्थापित,Government / Local bodies - सरकारी / स्थानिक संस्था,,,
2,School Level Information,48,Category of School,R,2,69,Private Unaided,2,Private Unaided - निजी (शासन से सहायता-प्राप्त नहीं),Private Unaided - खाजगी नसलेले,,,
2,School Level Information,48,Category of School,R,2,70,Private aided,2,Private aided - निजी (शासन से सहायता-प्राप्त),Private aided - खाजगी सहाय्य,,,
2,School Level Information,49,Type of School,R,2,71,For only girls,2,For only girls -  केवल लड़कों के लिये,For only girls - फक्त मुलींसाठी,,,
2,School Level Information,49,Type of School,R,2,72,For only boys,2,For only boys -  केवल लड़कियों के लिये,For only boys - फक्त मुलांसाठी,,,
2,School Level Information,49,Type of School,R,2,73,For both boys and girls,2,For both boys and girls - स्कूल का प्रकार,For both boys and girls - मुले आणि मुली दोन्हीसाठी,,,
2,School Level Information,53,If the official medium matches with local language,R,2,74,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,53,If the official medium matches with local language,R,2,75,No,2,No - नहीं,No  - नाही,,,
2,School Level Information,88,Atleast one Female teacher available,S,2,76,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,88,Atleast one Female teacher available,S,2,77,No,2,No - नहीं,No  - नाही,,,
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,78,Anganwaadi,2,Anganwaadi - आँगनवाड़ी,Anganwaadi - अंगणवाडी,,,
2,School Level Information,92,Mid Day meal cooked by,S,2,82,Inside/adjoining the school premises and by the school,2,Inside/adjoining the school premises and by the school - स्कूल के द्वारा स्कूल परिसर के भीतर/नजदीक,"Inside/adjoining the school premises and by the school - 
शाळेच्या आवारात व शाळेच्या आत किंवा बाजूला
शाळेच्या आवारात व शाळेच्या आत किंवा बाजूला",,,
2,School Level Information,92,Mid Day meal cooked by,S,2,83,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO,2,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा स्कूल परिसर के भीतर/नजदीक,Inside/adjoining the school premises and by NGO/Pvt Agency/CBO - शाळेच्या परिसर आत आणि एनजीओ / प्राइवेट एजन्सी / सीबीओ द्वारे,,,
2,School Level Information,92,Mid Day meal cooked by,S,2,84,Outside the school premises by NGO/Pvt Agency/CBO,2,Outside the school premises by NGO/Pvt Agency/CBO - अशासकीय संस्था/निजी एजेन्सी/समुदाय-आधारित संगठन द्वारा एवं स्कूल परिसर के बाहर,"Outside the school premises by NGO/Pvt Agency/CBO - 
एनजीओ / प्राइवेट एजन्सी / सीबीओ द्वारे शाळा परिसर बाहेर",,,
2,School Level Information,93,Mid Day meal cook available,S,2,85,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,93,Mid Day meal cook available,S,2,86,No,2,No - नहीं,No  - नाही,,,
2,School Level Information,94,Mid Day meal helper available,S,2,87,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,94,Mid Day meal helper available,S,2,88,No,2,No - नहीं,No - नाही,,,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,89,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,95,Separate cleaning staff for MDM,S,2,90,No,2,No - नहीं,No - नाही,,,
2,School Level Information,96,School building available,S,2,91,"Yes, Own Building",2,"Yes, Own Building - हाँ, स्कूल की स्वयं का भवन है ","Yes, Own Building - होय, स्वतःची इमारत",,,
2,School Level Information,96,School building available,S,2,92,"No, building not available or broken(classes conducted in open)",2,"No, building not available or broken(classes conducted in open) - नहीं, भवन उपलब्ध नहीं है या टूटा है ","No, building not available or broken(classes conducted in open) - 
नाही, इमारत उपलब्ध नाही किंवा तुटलेली नाही (खुली कक्षा)",,,
2,School Level Information,97,Toilet for children,R,2,93,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,97,Toilet for children,R,2,94,No,2,No - नहीं,No - नाही,,,
2,School Level Information,98,Separate Toilet for Girls,R,2,95,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,98,Separate Toilet for Girls,R,2,96,No,2,No - नहीं,No - नाही,,,
2,School Level Information,99,Water available in Toilet,S,2,97,"Yes, running water in the toilet",2,"Yes, running water in the toilet - हाँ,शौचालय में पानी चालू","Yes, running water in the toilet - 
होय, शौचालयात चालणारे पाणी",,,
2,School Level Information,99,Water available in Toilet,S,2,98,No,2,No - नहीं,No - नाही,,,
2,School Level Information,100,Boundary wall available,R,2,99,"Yes, broken/ incomplete",2,"Yes, broken/ incomplete - हाँ, टूटी हुई/अधूरी ","Yes, broken/ incomplete - होय, तुटलेली / अपूर्ण ",,,
2,School Level Information,100,Boundary wall available,R,2,100,No boundary wall,2,No boundary wall - कोई चहारदीवारी नहीं,"
No boundary wall - एकही सीमा भिंत नाही",,,
2,School Level Information,101,Library available,R,0,101,Yes,2,,Yes - होय,,,
2,School Level Information,101,Library available,R,0,102,No,2,,No - नाही,,,
2,School Level Information,102,Libraray available,R,2,103,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,102,Libraray available,R,2,104,No,2,No - नहीं,No - नाही,,,
2,School Level Information,103,Playground available,R,2,105,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,103,Playground available,R,2,106,No,2,No - नहीं,No - नाही,,,
2,School Level Information,104,Separate kitchen with shed,R,2,107,Yes,2,Yes- हाँ,Yes - होय,,,
2,School Level Information,104,Separate kitchen with shed,R,2,108,No,2,No- नहीं,No - नाही,,,
2,School Level Information,105,Disable friendly with ramp,R,2,109,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,105,Disable friendly with ramp,R,2,110,No,2,No - नहीं,No - नाही,,,
2,School Level Information,106,Availablity of Drinking Water,R,2,111,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,106,Availablity of Drinking Water,R,2,112,No,2,No - नहीं,No - नाही,,,
2,School Level Information,107,Availability of Electricity,R,2,113,"Yes, but supply intermittent",2,"Yes, but supply intermittent - हाँ, लेकिन बाधित प्रदाय ","Yes, but supply intermittent - होय, परंतु प्रवाही पुरवठा",,,
2,School Level Information,107,Availability of Electricity,R,2,114,No,2,No - नहीं,No - नाही,,,
2,School Level Information,109,Availability of Science lab,R,2,115,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,109,Availability of Science lab,R,2,116,No,2,No - नहीं,No - नाही,,,
2,School Level Information,110,School management commitee constituted,R,2,117,Yes,2,Yes - हाँ,Yes - होय,,,
2,School Level Information,110,School management commitee constituted,R,2,118,No,2,No - नहीं,No - नाही,,,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,119,Yes,2,Yes - हाँ,Yes - होय,,,
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,120,No,2,No - नहीं,No - नाही,,,
