ID,Code
89,"{""10"": ""अंगणवाडीचा प्रकार ""}"
114,"{""10"": ""अंगणवाडी सेविका उपलब्ध""}"
114,"{""10"": ""अंगणवाडी सेविका उपलब्ध""}"
116,"{""10"": ""अंगणवाडी सेविका याच वार्ड / पंचायती मधील आहे का ""}"
116,"{""10"": ""अंगणवाडी सेविका याच वार्ड / पंचायती मधील आहे का ""}"
117,"{""10"": ""अतिरिक्त अंगणवाडी सेविका व पोषण समुपदेशकाची उपलब्धता ""}"
117,"{""10"": ""अतिरिक्त अंगणवाडी सेविका व पोषण समुपदेशकाची उपलब्धता ""}"
118,"{""10"": ""अंगणवाडी मदतनीस उपलब्ध ""}"
118,"{""10"": ""अंगणवाडी मदतनीस उपलब्ध""}"
128,"{""10"": ""स्वतंत्र इमारत उपलब्ध ""}"
128,"{""10"": ""स्वतंत्र इमारत उपलब्ध""}"
129,"{""10"": ""इमारतीचा प्रकार ""}"
129,"{""10"": ""इमारतीचा प्रकार ""}"
129,"{""10"": ""इमारतीचा प्रकार ""}"
130,"{""10"": ""आहार शिजवण्यासाठी शेड उपलब्धता""}"
130,"{""10"": ""आहार शिजवण्यासाठी शेड उपलब्ध""}"
131,"{""10"": ""पिण्याच्या पाणी उपलब्ध आहे का ?""}"
131,"{""10"": ""पिण्याचे पाणी उपलब्ध आहे का ?""}"
132,"{""10"": ""चालू स्थितीतील शौचालय उपलब्धता  ""}"
132,"{""10"": ""चालू स्थितीतील शौचालय उपलब्धता  ""}"
133,"{""10"": ""शौचालयामध्ये पाणी  उपलब्धता   ""}"
133,"{""10"": ""शौचालयामध्ये पाणी  उपलब्धता   ""}"
134,"{""10"": ""पूर्व प्राथमिक शिक्षणाचे किट / साहित्य उपलब्धता   ""}"
134,"{""10"": ""पूर्व प्राथमिक शिक्षणाचे किट / साहित्य उपलब्धता   ""}"
135,"{""10"": ""टिएचआर पाकिटातील आहाराची उपलब्धता  ""}"
135,"{""10"": ""टिएचआर पाकिटातील आहाराची उपलब्धता  ""}"
136,"{""10"": ""शिजवलेल्या अन्नाची उपलब्धता ""}"
136,"{""10"": ""शिजवलेल्या अन्नाची उपलब्धता ""}"
137,"{""10"": ""लसीकरण सेवाची उपलब्धता ""}"
137,"{""10"": ""लसीकरण सेवाची उपलब्धता ""}"
138,"{""10"": ""आरोग्य तपासणी सेवा उपलब्ध ""}"
138,"{""10"": ""आरोग्य तपासणी सेवा उपलब्ध ""}"
139,"{""10"": ""संधर्भ सेवा उपलब्ध ""}"
139,"{""10"": ""संधर्भ सेवा उपलब्ध ""}"
140,"{""10"": ""पोषण व आरोग्य शिक्षण सेवा उपलब्ध ""}"
140,"{""10"": ""पोषण व आरोग्य शिक्षण सेवा उपलब्ध ""}"
141,"{""10"": ""किशोरवयीन मुलीना समुपदेशन सेवा दिली जाते ""}"
141,"{""10"": ""किशोरवयीन मुलीना समुपदेशन सेवा दिली जाते ""}"
308,"{""10"": ""शाळेमध्ये कधीना कधी नावनोंदणी ""}"
308,"{""10"": ""शाळेमध्ये कधीना कधी नावनोंदणी ""}"
309,"{""10"": ""जर नाव नोंदणी केली असेल तर नोंदणीची स्तिथी ""}"
309,"{""10"": ""जर नाव नोंदणी केली असेल तर नोंदणीची स्तिथी ""}"
319,"{""10"": ""शाळेचा प्रकार ""}"
319,"{""10"": ""शाळेचा प्रकार ""}"
319,"{""10"": ""शाळेचा प्रकार ""}"
319,"{""10"": ""शाळेचा प्रकार ""}"
320,"{""10"": ""मोफत पाठ्यपुस्तके उपलब्ध ""}"
320,"{""10"": ""मोफत पाठ्यपुस्तके उपलब्ध ""}"
321,"{""10"": ""मोफत गणवेश उपलब्ध ""}"
321,"{""10"": ""मोफत गणवेश उपलब्ध ""}"
322,"{""10"": ""घरगुती कामांमध्ये सहभाग ""}"
322,"{""10"": ""घरगुती कामांमध्ये सहभाग ""}"
322,"{""10"": ""घरगुती कामांमध्ये सहभाग ""}"
323,"{""10"": ""शाळेत जाण्याआधी घरगुती कामांमध्ये सहभाग ""}"
323,"{""10"": ""शाळेत जाण्याआधी घरगुती कामांमध्ये सहभाग ""}"
323,"{""10"": ""शाळेत जाण्याआधी घरगुती कामांमध्ये सहभाग ""}"
324,"{""10"": ""शाळेतून आल्यावर घरगुती कामांमध्ये सहभाग ""}"
324,"{""10"": ""शाळेतून आल्यावर घरगुती कामांमध्ये सहभाग ""}"
324,"{""10"": ""शाळेतून आल्यावर घरगुती कामांमध्ये सहभाग ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
312,"{""10"": ""जर शाळा सोडलीगळती झाली, असेल तर कोणत्या वर्गातून  ""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
316,"{""10"": ""जर कधीही नोंदणी झालेली नसेल तर प्राथमिक कारणे""}"
269,"{""10"": ""माता बाल संगोपन कार्डमाता बाल आरोग्य / नोंदणी कार्ड बनवले आहे ""}"
269,"{""10"": ""माता बाल संगोपन कार्डमाता बाल आरोग्य / नोंदणी कार्ड बनवले आहे ""}"
270,"{""10"": ""माता बाल संगोपन कार्डमाता बाल आरोग्य / नोंदणी कार्ड उपलब्ध आहे ""}"
270,"{""10"": ""माता बाल संगोपन कार्डमाता बाल आरोग्य / नोंदणी कार्ड उपलब्ध आहे ""}"
271,"{""10"": ""बीसीजी ( जन्मताच )""}"
271,"{""10"": ""बीसीजी ( जन्मताच )""}"
273,"{""10"": ""कावीळ ( जन्मताच ) ब 0""}"
273,"{""10"": ""कावीळ ( जन्मताच ) ब 0""}"
275,"{""10"": ""ओपीव्ही - 0 ( पोलिओ, जन्मताच )""}"
275,"{""10"": ""ओपीव्ही - 0 ( पोलिओ, जन्मताच )""}"
277,"{""10"": ""ओपीव्ही - १( १.५ महिने )""}"
277,"{""10"": ""ओपीव्ही - १( १.५ महिने )""}"
279,"{""10"": ""डीपीटी  - १( १.५ महिने )""}"
279,"{""10"": ""डीपीटी  - १( १.५ महिने )""}"
281,"{""10"": ""कावीळ ब १( १.५ महिने )""}"
281,"{""10"": ""कावीळ ब १( १.५ महिने )""}"
283,"{""10"": ""ओपीव्ही - २( २.५ महिने )""}"
283,"{""10"": ""ओपीव्ही - २( २.५ महिने )""}"
285,"{""10"": ""डीपीटी  - २( २.५ महिने )""}"
285,"{""10"": ""डीपीटी  - २( २.५ महिने )""}"
287,"{""10"": ""कावीळ ब २( २.५ महिने )""}"
287,"{""10"": ""कावीळ ब २( २.५ महिने )""}"
289,"{""10"": ""ओपीव्ही - ३( ३.५ महिने )""}"
289,"{""10"": ""ओपीव्ही - ३( ३.५ महिने )""}"
291,"{""10"": ""डीपीटी  - ३( ३.५ महिने )""}"
291,"{""10"": ""डीपीटी  - ३( ३.५ महिने )""}"
293,"{""10"": ""कावीळ ब ३( ३.५ महिने )""}"
293,"{""10"": ""कावीळ ब ३( ३.५ महिने )""}"
295,"{""10"": ""पेंटावलेंट -१""}"
295,"{""10"": ""पेंटावलेंट -१( १.५ महिने )""}"
297,"{""10"": ""पेंटावलेंट -२ ( २.५ महिने )""}"
297,"{""10"": ""पेंटावलेंट -३""}"
299,"{""10"": ""पेंटावलेंट -३( ३.५ महिने )""}"
299,"{""10"": ""गोवर ( ९ व्या महिन्यात )""}"
301,"{""10"": ""गोवर ( ९ व्या महिन्यात )""}"
301,"{""10"": ""व्हिटॅमिन अ  ( पहिला डोज ९ व्या महिन्यात )""}"
303,"{""10"": ""व्हिटॅमिन अ  ( पहिला डोज ९ व्या महिन्यात )""}"
303,"{""10"": ""संपूर्ण लसीकरण ""}"
238,"{""10"": ""पोषण स्थिती ""}"
238,"{""10"": ""पोषण स्थिती ""}"
238,"{""10"": ""पोषण स्थिती ""}"
239,"{""10"": ""वाढीचा तक्ता अद्ययावत केला आहे का ""}"
239,"{""10"": ""वाढीचा तक्ता अद्ययावत केला आहे का ""}"
240,"{""10"": ""संदर्भसेवा ""}"
240,"{""10"": ""संदर्भसेवा ""}"
241,"{""10"": ""जर होय ""}"
241,"{""10"": ""जर होय ""}"
241,"{""10"": ""जर होय ""}"
241,"{""10"": ""जर होय ""}"
242,"{""10"": ""संदर्भ सेवा उपलब्ध आहे का ""}"
242,"{""10"": ""संदर्भ सेवा उपलब्ध आहे का ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
243,"{""10"": ""जर नसेल तर उपलब्ध नसण्याचे कारण ""}"
244,"{""10"": ""पूरक पोषण आहार ""}"
244,"{""10"": ""पूरक पोषण आहार ""}"
244,"{""10"": ""पूरक पोषण आहार ""}"
244,"{""10"": ""पूरक पोषण आहार ""}"
244,"{""10"": ""पूरक पोषण आहार ""}"
192,"{""10"": ""आरोग्य केंद्राचा प्रकार ""}"
192,"{""10"": ""आरोग्य केंद्राचा प्रकार ""}"
192,"{""10"": ""आरोग्य केंद्राचा प्रकार ""}"
