Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Hindi,Tamil,Bangla,Odiya, Ahomia
2,School Level Information,44,Name of the School,T,0,Name of the School - स्कूल का नाम,Name of the School - பள்ளியின் பெயர்,Name of the School - বিদ্যালয়ের নাম,Name of the School - ବିଦ୍ୟାଳୟର ନାମ,Name of the School - বিদ্যালয়ৰ নাম
2,School Level Information,45,School Name,T,0,School ID - स्कूल यूनिक आई डी,School ID - பள்ளியின் அடையாள எண்,School ID - বিদ্যালয়ের ID,School ID - ବିଦ୍ୟାଳୟ ପରିଚୟପତ୍ର,School ID - বিদ্যালয়ৰ আই.ডি.
2,School Level Information,46,Lowest class in School,S,2,Lowest class in School - स्कूल की निम्नतम कक्षा,Lowest class in School - பள்ளியின் குறைந்த வகுப்பு,Lowest class in School - বিদ্যালয়ে সর্ব নিম্ন শ্রেণি,Lowest class in School - ବିଦ୍ୟାଳୟର ସର୍ବନିମ୍ନ ଶ୍ରେଣୀ,Lowest class in School - স্কুলৰ বা বিদ্যালয়ৰ নিম্ন ক্লাচ (শ্ৰেণী)
2,School Level Information,47,Highest class in school,S,2,Highest class in school - स्कूल की उच्चतम कक्षा,Highest class in school - பள்ளியில் இருக்கும் அதிகபட்ச வகுப்பு,Highest class in school - বিদ্যালয়ে সর্বোচ্চ শ্রেণি,Highest class in school - ବିଦ୍ୟାଳୟର ସର୍ବୋଚ୍ଚ ଶ୍ରେଣୀ,Highest class in school - স্কুলৰ বা বিদ্যালয়ৰ উচ্চ ক্লাচ (শ্ৰেণী)
2,School Level Information,48,Category of School,R,2,Category of School - स्कूल की श्रेणी,Category of School - பள்ளியின் வகை,Category of School - বিদ্যালয়ের ধরণ,Category of School - ବିଦ୍ୟାଳୟର ବର୍ଗ,Category of School - বিদ্যালয়ৰ প্ৰকাৰ
2,School Level Information,49,Type of School,R,2,Type of School - स्कूल का प्रकार,Type of School - பள்ளியின் தன்மை,Type of School - বিদ্যালয়ের ধরণ,Type of School - ବିଦ୍ୟାଳୟର ପ୍ରକାର,Type of School - বিদ্যালয়ৰ ধৰণ/প্ৰকাৰ
2,School Level Information,50,Total number of room in School,T,2,Total number of room in School - स्कूल में कुल कमरों की संख्या,Total number of room in School - மொத்த அறைகளின் எண்ணிக்கை,Total number of room in School - বিদ্যালয়ে মোট ঘরের সংখ্যা,Total number of room in School - ବିଦ୍ୟାଳୟର ସମୁଦାୟ ଗୃହ ସଂଖ୍ୟା,Total number of room in School - বিদ্যালয়য়ৰ মুঠ শ্ৰেণী কোঠা
2,School Level Information,51,Total number of class rooms,T,2,Total number of class rooms - अध्ययन कक्षों की कुल संख्या,Total number of class rooms - மொத்த வகுப்பறைகளின் எண்ணிக்கை,Total number of class rooms - মোট শ্রেণিকক্ষের সংখ্যা,Total number of class rooms - ସମୁଦାୟ ଶ୍ରେଣୀଗୃହ ସଂଖ୍ୟା,Total number of class rooms - মুঠ শ্ৰেণীকোঠা
2,School Level Information,52,Official medium of instruction,T,2,Official medium of instruction - शिक्षण का शासकीय माध्यम,Official medium of instruction - பயிற்று மொழி,Official medium of instruction - অফিসিয়াল মিডিয়াম ওফ ইনসট্রাকশন,Official medium of instruction - ନିର୍ଦ୍ଦେଶ ପ୍ରଦାନର ସରକାରୀ ମାଧ୍ୟମ,Official medium of instruction - নিৰ্দেশৰ মাধ্যম
2,School Level Information,53,If the official medium matches with local language,R,2,If the official medium matches with local language - क्या शिक्षण का शासकीय माध्यम स्थानीय भाषा से मेल खाता है,If the official medium matches with local language - பாடம் நடத்தப்படும் மொழி அந்த பகுதியில் வழக்கத்திலுள்ள மொழியோடு ஒத்துப்போகிறதா?,If the official medium matches with local language - স্থানীয় ভাষার সঙ্গে অফিসিয়াল ইনসট্রাকশন মেলে কিনা,If the official medium matches with local language - ଯଦି ସରକାରୀ ମାଧ୍ୟମରେ ନିର୍ଦ୍ଦେଶ ପ୍ରଦାନ ଆଂଚଳିକ ଭାଷାରେ କରାଯାଉଥାଏ,If the official medium matches with local language - অফিচিয়েল মাধ্যমৰ স্থানীয় ভাষাৰ লগত মিল আছেনে
