Form Id,Form Name,ID,Question Name,Question Type,Question Acitve Status,Odiya
2,School Level Information,44,Name of the School,T,0, School-ଶ୍ରେଣୀ
2,School Level Information,45,School Name,T,0,School ID - ବିଦ୍ୟାଳୟ ପରିଚୟପତ୍ର
2,School Level Information,46,Lowest class in School,S,2,Lowest class in School - ବିଦ୍ୟାଳୟର ସର୍ବନିମ୍ନ ଶ୍ରେଣୀ
2,School Level Information,47,Highest class in school,S,2,Highest class in school - ବିଦ୍ୟାଳୟର ସର୍ବୋଚ୍ଚ ଶ୍ରେଣୀ
2,School Level Information,48,Category of School,R,2,Category of School - ବିଦ୍ୟାଳୟର ବର୍ଗ
2,School Level Information,49,Type of School,R,2,Type of School - ବିଦ୍ୟାଳୟର ପ୍ରକାର
2,School Level Information,50,Total number of room in School,T,2,Type of School - ବିଦ୍ୟାଳୟର ପ୍ରକାର
2,School Level Information,51,Total number of class rooms,T,2,Total number of class rooms - ସମୁଦାୟ ଶ୍ରେଣୀଗୃହ ସଂଖ୍ୟା
2,School Level Information,52,Official medium of instruction,T,2,Official medium of instruction - ନିର୍ଦ୍ଦେଶ ପ୍ରଦାନର ସରକାରୀ ମାଧ୍ୟମ
2,School Level Information,53,If the official medium matches with local language,R,2,If the official medium matches with local language - ଯଦି ସରକାରୀ ମାଧ୍ୟମରେ ନିର୍ଦ୍ଦେଶ ପ୍ରଦାନ ଆଂଚଳିକ ଭାଷାରେ କରାଯାଉଥାଏ
2,School Level Information,54,Total SC Boys,T,2,Total SC Boys - ତଫସିଲଭୁକ୍ତ  ଜାତିର ସମୁଦାୟ ବାଳକ
2,School Level Information,55,Total SC Girls,T,2,Total SC Girls - ତଫସିଲଭୁକ୍ତ ଜାତିର ସମୁଦାୟ ବାଳିକା
2,School Level Information,56,Total ST Boys,T,2,Total ST Boys - ତଫସିଲଭୁକ୍ତ ଜନଜାତିର ସମୁଦାୟ ବାଳକ
2,School Level Information,57,Total ST Girls,T,2,Total ST Girls - ତଫସିଲଭୁକ୍ତ ଜନଜାତିର ସମୁଦାୟ ବାଳିକା
2,School Level Information,58,Total OBC Boys,T,2,Total OBC Boys - ସମୁଦାୟ ଓବିସି ବାଳକ
2,School Level Information,59,Total OBC Girls,T,2,Total OBC Girls - ସମୁଦାୟ ଓବିସି ବାଳିକା
2,School Level Information,60,Total Other Boys (Caste),T,2,Total Other Boys (Caste) -ସମୁଦାୟ ସାଧାରଣ ବର୍ଗ ବାଳକ  
2,School Level Information,61,Total Other Girls (Caste),T,2,Total Other Girls (Caste) -  ସମୁଦାୟସାଧାରଣ ବର୍ଗ ବାଳିକା   
2,School Level Information,62,Total Hindu Boys,T,2,Total Hindu Boys - ସମୁଦାୟ ହିନ୍ଦୁ ବାଳକ
2,School Level Information,63,Total Hindu Girls,T,2,Total Hindu Girls - ସମୁଦାୟ ହିନ୍ଦୁ ବାଳିକା
2,School Level Information,64,Total Muslim Boys,T,2,Total Muslim Boys - ସମୁଦାୟ ମୁସଲିମ୍ ବାଳକ
2,School Level Information,65,Total Muslim Girls,T,2,Total Muslim Girls - ସମୁଦାୟ ମୁସଲିମ୍ ବାଳିକା
2,School Level Information,66,Total Christian Boys,T,2,Total Christian Boys - ସମୁଦାୟ ଖ୍ରୀଷ୍ଟିଆନ୍ ବାଳକ
2,School Level Information,67,Total Christian Girls,T,2,Total Christian Girls - ସମୁଦାୟ ଖ୍ରୀଷ୍ଟିଆନ୍ ବାଳିକା
2,School Level Information,68,Total Sikh Boys,T,2,Total Sikh Boys - ସମୁଦାୟ ଶିଖ୍ ବାଳକ
2,School Level Information,69,Total Sikh Girls,T,2,Total Sikh Girls - ସମୁଦାୟ ଶିଖ୍ ବାଳିକା
2,School Level Information,70,Total Buddhist Boys,T,2,Total Buddhist Boys - ସମୁଦାୟ ବୁଦ୍ଧ ଧର୍ମାବଲମ୍ବୀ ବାଳକ
2,School Level Information,71,Total Buddhist Girls,T,2,Total Buddhist Girls - ସମୁଦାୟ ବୁଦ୍ଧ ଧର୍ମାବଲମ୍ବୀ ବାଳିକା
2,School Level Information,72,Total Jain Boys,T,2,Total Jain Boys - ସମୁଦାୟ ଜୈନ ଧର୍ମାବଲମ୍ବୀ ବାଳକ
2,School Level Information,73,Total Jain Girls,T,2,Total Jain Girls - ସମୁଦାୟ ଜୈନ ଧର୍ମାବଲମ୍ବୀ ବାଳିକା
2,School Level Information,74,Total Boys,T,2,Total Boys - ସମୁଦାୟ ବାଳକ
2,School Level Information,75,Total Girls,T,2,Total Girls - ସମୁଦାୟ ବାଳିକା
2,School Level Information,76,Total Children,T,2,Total Children - ସମୁଦାୟ ଶିଶୁ
2,School Level Information,77,Total number of Boys with special needs,T,2,Total number of Boys with special needs - ସ୍ୱତନ୍ତ୍ର ଧ୍ୟାନ ଆବଶ୍ୟକ କରୁଥିବା ବାଳକ ସଂଖ୍ୟା
2,School Level Information,78,Total number of Girls with special needs,T,2,Total number of Girls with special needs - ସ୍ୱତନ୍ତ୍ର ଧ୍ୟାନ ଆବଶ୍ୟକ କରୁଥିବା ବାଳିକା ସଂଖ୍ୟା
2,School Level Information,79,Number of permanent teachers,T,2,Number of permanent teachers - ସ୍ଥାୟୀ ଶିକ୍ଷକ ସଂଖ୍ୟା
2,School Level Information,80,Number of contractual teachers,T,2,Number of contractual teachers - ଚୁକ୍ତିଭିତିକ ଶିକ୍ଷକ ସଂଖ୍ୟା
2,School Level Information,81,Total numbers of teachers,T,2,Total numbers of teachers - ସମୁଦାୟ ଶିକ୍ଷକ ସଂଖ୍ୟା
2,School Level Information,82,Total Male teachers,T,2,Total Male teachers - ସମୁଦାୟ ପୁରୁଷ ଶିକ୍ଷକ ସଂଖ୍ୟା
2,School Level Information,83,Total Female teachers,T,2,Total Female teachers - ସମୁଦାୟ ମହିଳା ଶିକ୍ଷକ ସଂଖ୍ୟା
2,School Level Information,84,Separate mathematics teachers,S,2,Separate mathematics teachers - ସ୍ୱତନ୍ତ୍ର ଗଣିତ ଶିକ୍ଷକ
2,School Level Information,85,Separate Science teachers,S,2,Separate Science teachers - ସ୍ୱତନ୍ତ୍ର ବିଜ୍ଞାନ ଶିକ୍ଷକ
2,School Level Information,86,Separate Language teachers,S,2,Separate Language teachers - ସ୍ୱତନ୍ତ୍ର ଭାଷା ଶିକ୍ଷକ
2,School Level Information,87,Separate teachers for SST,S,2,Separate teachers for SST - ସ୍ୱତନ୍ତ୍ର ସାମାଜିକ ବିଜ୍ଞାନ ଶିକ୍ଷକ
2,School Level Information,88,Atleast one Female teacher available,S,2,Atleast one Female teacher available - ଅତି କମ୍ ରେ ଜଣେ ଶିକ୍ଷୟିତ୍ରୀ
3,Anganwadi Centre Information,89,Type of Anganwadi,S,2,Type of Anganwadi - ଅଂଗନୱାଡ଼ି  କେନ୍ଦ୍ରର ପ୍ରକାର
3,Anganwadi Centre Information,90,Location Type,R,0,0
3,Anganwadi Centre Information,91,Location or Address of the AWC,T,0,0
2,School Level Information,92,Mid Day meal cooked by,S,2,Mid Day meal cooked by  - ମଧ୍ୟାହ୍ନ ଭୋଜନ କିଏ ରାନ୍ଧୁଛି
2,School Level Information,93,Mid Day meal cook available,S,2,Mid Day meal cook available - ମଧ୍ୟାହ୍ନ ଭୋଜନ ରୋଷେୟା ଅଛି କି ନାହିଁ
2,School Level Information,94,Mid Day meal helper available,S,2,Mid Day meal helper available - ମଧ୍ୟାହ୍ନ ଭୋଜନ ସହାୟିକା ରହିଛି କି ନାହିଁ
2,School Level Information,95,Separate cleaning staff for MDM,S,2,Separate cleaning staff for MDM - ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ସ୍ୱତନ୍ତ୍ର ସଫେଇ କର୍ମଚାରୀ ରହିଛି କି ନାହିଁ
2,School Level Information,96,School building available,S,2,School building available - ବିଦ୍ୟାଳୟର ନିଜସ୍ୱ ଗୃହ ରହିଛି କି ନାହିଁ
2,School Level Information,97,Toilet for children,R,2,Toilet for children - ଛାତ୍ରଛାତ୍ରଙ୍କ ପାଇଁ ଶୌଚାଳୟ
2,School Level Information,98,Separate Toilet for Girls,R,2,Separate Toilet for Girls - ବାଳିକାଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର ଶୌଚାଳୟ
2,School Level Information,99,Water available in Toilet,S,2,Water available in Toilet - ଶୌଚାଳୟରେ ପାଣି ସୁବିଧା
2,School Level Information,100,Boundary wall available,R,2,Boundary wall available - ବିଦ୍ୟାଳୟ  ଚାରିପଟେ ପାଚେରୀ
2,School Level Information,101,Library available,R,0,0
2,School Level Information,102,Libraray available,R,2,Libraray available - ପାଠାଗାର ରହିଛି କି ନାହିଁ
2,School Level Information,103,Playground available,R,2,Playground available - ଖେଳପଡ଼ିଆ ରହିଛି କି ନାହିଁ
2,School Level Information,104,Separate kitchen with shed,R,2,Separate kitchen with shed - ସେଡ଼୍ ସହିତ ସ୍ୱତନ୍ତ୍ର ରୋଷେଇ ଗୃହ
2,School Level Information,105,Disable friendly with ramp,R,2,Disable friendly with ramp - ଦିବ୍ୟାଙ୍ଗଙ୍କ ଯାତାୟତ ପାଇଁ ରାଂପ୍ ସୁବିଧା
2,School Level Information,106,Availablity of Drinking Water,R,2,Availablity of Drinking Water - ପିଇବା ପାଣିର ସୁବିଧା ରହିଛି କି
2,School Level Information,107,Availability of Electricity,R,2,Availability of Electricity - ବିଦ୍ୟୁତ୍ ଯୋଗାଣ ସୁବିଧା ରହିଛି କି
3,Anganwadi Centre Information,108,Year of Operation of AWC,D,2,Year of Operation of AWC - କେନ୍ଦ୍ରର ପରିଚଳନା ଆରମ୍ଭ ହେବା ବର୍ଷ
2,School Level Information,109,Availability of Science lab,R,2,Availability of Science lab - ବିଜ୍ଞାନାଗାର ରହିଛି କି
2,School Level Information,110,School management commitee constituted,R,2,School management commitee constituted - ବିଦ୍ୟାଳୟ ପରିଚାଳନା କମିଟି ଗଠିତ ହୋଇଛି କି ନାହିଁ
3,Anganwadi Centre Information,111,Population catered to by AWC,T,2,Population catered to by AWC -  କେତେ ଜନସଂଖ୍ୟା ବିଶିଷ୍ଟ ଅଙ୍ଗନବାଡି କେନ୍ଦ୍ର
2,School Level Information,112,Numbers of meeting conducted this year,T,2,Numbers of meeting conducted this year - ବର୍ଷକ ମଧ୍ୟରେ ଅନୁଷ୍ଠିତ ବୈଠକ ସଂଖ୍ୟା
3,Anganwadi Centre Information,113,Need for additional AWC,S,2,Need for additional AWC - ଅତିରିକ୍ତ ଅଂଗନୱାଡ଼ି କେନ୍ଦ୍ରର ଆବଶ୍ୟକତା
3,Anganwadi Centre Information,114,Anganwadi worker AWW available,R,2,Anganwadi worker AWW available - ବର୍ତମାନ କାର୍ଯ୍ୟରତ ଅଂଗନୱାଡ଼ି କର୍ମୀ ସଂଖ୍ୟା
3,Anganwadi Centre Information,115,Month and year of joining in the area for AWW,D,2,Month and year of joining in the area for AWW - ଅଂଗନୱାଡ଼ି କର୍ମୀ ଯୋଗ ଦେବାର ମାସ ଓ ବର୍ଷ
3,Anganwadi Centre Information,116,Whether AWW is from the same Panchayat or Ward,R,2,Whether AWW is from the same Panchayat or Ward - ଅଂଗନୱାଡ଼ି କର୍ମୀ ସମାନ ପଞ୍ଚାୟତ କିମ୍ବା ୱାର୍ଡ଼ର କି ନୁହେଁ
3,Anganwadi Centre Information,117,Additional AWW cum Nutrition Counsellor available,R,2,Additional AWW cum Nutrition Counsellor available - ଅତିରିକ୍ତ ଅଂଗନୱାଡ଼ି କର୍ମଚାରୀ/ ପୌଷ୍ଟିକ ପରାମର୍ଶଦାତା ଅଛନ୍ତି କି
3,Anganwadi Centre Information,118,AW Helper available,R,2,AW Helper available - ଅଂଗନୱାଡ଼ି ସହାୟିକା ଅଛନ୍ତି କି
3,Anganwadi Centre Information,119,Boys (0-3 Years) enrolled,T,2,Boys (0-3 Years) enrolled - ତାଲିକାଭୁକ୍ତ ବାଳକ(୦-୩ବର୍ଷ)
3,Anganwadi Centre Information,120,Girls (0-3 Years) enrolled,T,2,Girls (0-3 Years) enrolled - ତାଲିକାଭୁକ୍ତ ବାଳିକା(୦-୩ ବର୍ଷ)
3,Anganwadi Centre Information,121,Total Children (0-3 years),T,2,Total Children (0-3 years) - ସମୁଦାୟ ଶିଶୁ ସଂଖ୍ୟା(୦-୩ବର୍ଷ)
3,Anganwadi Centre Information,122,Boys (3-6 Years) enrolled,T,2,Boys (3-6 Years) enrolled - ତାଲିକାଭୁକ୍ତ ବାଳକ(୩-୬ବର୍ଷ)
3,Anganwadi Centre Information,123,Girls (3-6 Years) enrolled,T,2,Girls (3-6 Years) enrolled - ତାଲିକାଭୁକ୍ତ ବାଳିକା(୩-୬ବର୍ଷ)
3,Anganwadi Centre Information,124,Total children (3-6 Years) enrolled,T,2,Total children (3-6 Years) enrolled - ସମୁଦାୟ ଶିଶୁ ସଂଖ୍ୟା(୩-୬ବର୍ଷ)
3,Anganwadi Centre Information,125,Total adolescent girls (10-18 Years) enrolled,T,2,Total adolescent girls (11-18 Years) enrolled - ତାଲିକାଭୁକ୍ତ ସମୁଦାୟ କିଶୋରୀ(୧୧-୧୮ବର୍ଷ) ସଂଖ୍ୟା
3,Anganwadi Centre Information,126,Total number of pregnant women enrolled,T,2,Total number of pregnant women enrolled - ତାଲିକାଭୁକ୍ତ ସମୁଦାୟ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ସଂଖ୍ୟା
3,Anganwadi Centre Information,127,Total number of lactating mothers enrolled,T,2,Total number of lactating mothers enrolled - ତାଲିକାଭୁକ୍ତ ସମୁଦାୟ ପ୍ରସୂତି ମାଆମାନଙ୍କ ସଂଖ୍ୟା
3,Anganwadi Centre Information,128,Own Building available,R,2,Own Building available - ନିଜସ୍ୱ ଗୃହ ରହିଛି କି ନାହିଁ
3,Anganwadi Centre Information,129,Type of building,R,2,Type of building - ଗୃହର ପ୍ରକାର
3,Anganwadi Centre Information,130,Shed for cooking available,R,2,Shade for cooking available - ରୋଷେଇ ଘର  ରହିଛି କି ନାହିଁ
3,Anganwadi Centre Information,131,Whether drinking water available,R,2,Whether drinking water available - ପିଇବା ପାଣି ବ୍ୟବସ୍ଥା ଅଛି କି
3,Anganwadi Centre Information,132,Functional toilet available,R,2,Functional toilet available - ଶୌଚାଳୟ କାମ କରୁଛି କି ନାହିଁ
3,Anganwadi Centre Information,133,Water available in toilets,R,2,Water available in toilets - ଶୌଚାଳୟରେ ପାଣି ର ବ୍ୟବସ୍ଥା ଅଛି କି ନାହିଁ
3,Anganwadi Centre Information,134,Pre-school Education Kits/ material available,R,2,Pre-school Education Kits/ material available - ପ୍ରାକ୍ ବିଦ୍ୟାଳୟ ଶିକ୍ଷା ଉପକରଣ ରହିଛି କି ନାହିଁ
3,Anganwadi Centre Information,135,Take Home Ration Available,R,2,Take Home Ration Available -  ଶୁଖିଲା ଖାଦ୍ୟ ମିଳୁଛି କି ନାହିଁ
3,Anganwadi Centre Information,136,Cooked Food Available,R,2,Cooked Food Available - ରନ୍ଧା ଖାଦ୍ୟ ମିଳୁଛି କି 
3,Anganwadi Centre Information,137,Immunization service available,R,2,Immunization service available - ଟୀକାକରଣ ବ୍ୟବସ୍ଥା ରହିଛି କି 
3,Anganwadi Centre Information,138,Health check up service available,R,2,Health check up service available - ସ୍ୱାସ୍ଥ୍ୟ ପରୀକ୍ଷା ସୁବଧା ଯୋଗାଇ ଦିଆଯାଉଛି କି 
3,Anganwadi Centre Information,139,Referral services available,R,2,Referral services available - ସ୍ୱାସ୍ଥ୍ୟ  ସେବା  ସକାଶେ  ପ୍ରେରଣ କରାଯାଉଅଛି କି ନାହିଁ
3,Anganwadi Centre Information,140,Nutrition & Health education service available,R,2,Nutrition & Health education service available - ପୁଷ୍ଟି ଓ ସ୍ୱାସ୍ଥ୍ୟ ସମ୍ପର୍କିତ ଶିକ୍ଷା ବ୍ୟବସ୍ଥା ରହିଛି  କି
3,Anganwadi Centre Information,141,Counselling Services - Adolescent Girls available,R,2,Counselling Services - Adolescent Girls available - କିଶୋରୀ ବାଳିକାମାନଙ୍କୁ କାଉନ୍ସେଲିଂ ସେବା ଯୋଗାଇ ଦିଆଯାଉଛି
37,Child Annual Information,154,Name of Head of HouseHold,T,0,0
37,Child Annual Information,155,Name of the Father,T,2,Name of the Father - ପିତାଙ୍କ ନାମ
37,Child Annual Information,156,Age of Father,T,2,Age of Father - ପିତାଙ୍କ ବୟସ
37,Child Annual Information,157,Highest class passed - Father,S,2,Highest class passed - Father - ପିତାଙ୍କ ସର୍ବାଧିକ ଶିକ୍ଷାଗତ ଯୋଗ୍ୟତା
37,Child Annual Information,158,Occupation of the father,S,2,"Occupation of the father - ପିତାଙ୍କ ବୃତ୍ତି
"
37,Child Annual Information,159,Name of Mother,T,2,Name of Mother - ମାଆଙ୍କ ନାମ
37,Child Annual Information,160,Age of Mother,T,2,Age of Mother - ମାଆଙ୍କ ବୟସ
37,Child Annual Information,161,Highest class passed - Mother,S,2,Highest class passed - Mother - ମାଆଙ୍କ  ସର୍ବାଧିକଶିକ୍ଷାଗତ ଯୋଗ୍ୟତା
37,Child Annual Information,162,Occupation of the Mother,S,2,"Occupation of the Mother - ମାଆଙ୍କ ବୃତ୍ତି
"
37,Child Annual Information,163,Orphaned /Single parent,R,2,Orphaned /Single parent - ଅନାଥ/ ଏକୁଟିଆ ମାଆ କିମ୍ବା ବାପାଙ୍କ ପାଖରେ ରହେ
37,Child Annual Information,164,Name of Guardian,T,2,Name of Guardian -  ଅଭିଭାବକ ନାମ
37,Child Annual Information,165,Caste of Child,S,2,Caste of Child -   ଶିଶୁର ଜାତି
37,Child Annual Information,166,Religion of Child,S,2,Religion of Child - ଶିଶୁର ଧର୍ମ
37,Child Annual Information,167,Sex of Child,R,0,0
37,Child Annual Information,168,Birth registration of child done?,R,2,Birth registration of child done? - ଶିଶୁର ଜନ୍ମ ପଞ୍ଜୀକରଣ ହୋଇଛି କି ନାହିଁ
37,Child Annual Information,169,Date of  birth of the child,D,0,Date of  birth of the child - ଶିଶୁର ଜନ୍ମ ତାରିଖ
