ID,Code,,,,,,,,,,,,,
233," {""8"":""উপ-স্বাস্থ্য কেন্দ্র""}",,,,,,,,,,,,,
234," {""8"":""প্রাথমিক স্বাস্থ্য কেন্দ্র""}",,,,,,,,,,,,,
235," {""8"":""ৰাজহুৱা স্বাস্থ্যকেন্দ্ৰ ""}",,,,,,,,,,,,,
236," {""8"":""চহৰীয়া স্বাস্থ্যশিবিৰ ""}",,,,,,,,,,,,,
237," {""8"":""ৰজ্যিক স্বাস্থ্য ইউনিট""}",,,,,,,,,,,,,
271," {""8"":""নিজা""}",,,,,,,,,,,,,
272," {""8"":""ভাড়া""}",,,,,,,,,,,,,
281," {""8"":""নহয়""}",,,,,,,,,,,,,
280," {""8"":""হয়""}",,,,,,,,,,,,,
2078," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
2079," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
282," {""8"":""L1""}",,,,,,,,,,,,,
283," {""8"":""L2""}",,,,,,,,,,,,,
284," {""8"":""L3""}",,,,,,,,,,,,,
286," {""8"":""নহয়""}",,,,,,,,,,,,,
285," {""8"":""হয়""}",,,,,,,,,,,,,
288," {""8"":""নহয়""}",,,,,,,,,,,,,
287," {""8"":""হয়""}",,,,,,,,,,,,,
312," {""8"":""নহয়""}",,,,,,,,,,,,,
311," {""8"":""হয়""}",,,,,,,,,,,,,
292," {""8"":""নহয়""}",,,,,,,,,,,,,
291," {""8"":""হয়""}",,,,,,,,,,,,,
294," {""8"":""নহয়""}",,,,,,,,,,,,,
293," {""8"":""হয়""}",,,,,,,,,,,,,
296," {""8"":""নহয়""}",,,,,,,,,,,,,
295," {""8"":""হয়""}",,,,,,,,,,,,,
298," {""8"":""নহয়""}",,,,,,,,,,,,,
297," {""8"":""হয়""}",,,,,,,,,,,,,
300," {""8"":""নহয়""}",,,,,,,,,,,,,
299," {""8"":""হয়""}",,,,,,,,,,,,,
302," {""8"":""নহয়""}",,,,,,,,,,,,,
301," {""8"":""হয়""}",,,,,,,,,,,,,
304," {""8"":""নহয়""}",,,,,,,,,,,,,
303," {""8"":""হয়""}",,,,,,,,,,,,,
306," {""8"":""নহয়""}",,,,,,,,,,,,,
305," {""8"":""হয়""}",,,,,,,,,,,,,
240," {""8"":""নহয়""}",,,,,,,,,,,,,
239," {""8"":""হয়""}",,,,,,,,,,,,,
242," {""8"":""নহয়""}",,,,,,,,,,,,,
241," {""8"":""হয়""}",,,,,,,,,,,,,
244," {""8"":""নহয়""}",,,,,,,,,,,,,
243," {""8"":""হয়""}",,,,,,,,,,,,,
246," {""8"":""নহয়""}",,,,,,,,,,,,,
245," {""8"":""হয়""}",,,,,,,,,,,,,
1937," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1940," {""8"":""নহয়""}",,,,,,,,,,,,,
1939," {""8"":""হয়""}",,,,,,,,,,,,,
1943," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
308," {""8"":""নহয়""}",,,,,,,,,,,,,
307," {""8"":""হয়""}",,,,,,,,,,,,,
1947," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
252," {""8"":""নহয়""}",,,,,,,,,,,,,
251," {""8"":""হয়""}",,,,,,,,,,,,,
1961," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
254," {""8"":""নহয়""}",,,,,,,,,,,,,
253," {""8"":""হয়""}",,,,,,,,,,,,,
1976," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
256," {""8"":""নহয়""}",,,,,,,,,,,,,
255," {""8"":""হয়""}",,,,,,,,,,,,,
1986," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
258," {""8"":""নহয়""}",,,,,,,,,,,,,
257," {""8"":""হয়""}",,,,,,,,,,,,,
1998," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
2012," {""8"":""নহয়""}",,,,,,,,,,,,,
2011," {""8"":""হয়""}",,,,,,,,,,,,,
2014," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
2022," {""8"":""নহয়""}",,,,,,,,,,,,,
2020," {""8"":""হয়""}",,,,,,,,,,,,,
2027," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
310," {""8"":""নহয়""}",,,,,,,,,,,,,
309," {""8"":""হয়""}",,,,,,,,,,,,,
2036," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
2045," {""8"":""নহয়""}",,,,,,,,,,,,,
2044," {""8"":""হয়""}",,,,,,,,,,,,,
2052," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
268," {""8"":""নহয়""}",,,,,,,,,,,,,
267," {""8"":""হয়""}",,,,,,,,,,,,,
270," {""8"":""নহয়""}",,,,,,,,,,,,,
269," {""8"":""হয়""}",,,,,,,,,,,,,
