ID,Code,,,,,,,,,,,,,
233,"{""6"":""উপ-স্বাস্থ্য কেন্দ্র""}",,,,,,,,,,,,,
234,"{""6"":""প্রাথমিক স্বাস্থ্য কেন্দ্র""}",,,,,,,,,,,,,
235,"{""6"":""কমিউনিটি স্বাস্থ্য কেন্দ্র""}",,,,,,,,,,,,,
236,"{""6"":""শহুরে স্বাস্থ্য ইউনিট""}",,,,,,,,,,,,,
237,"{""6"":""চা এস্টেটে স্বাস্থ্য ইউনিট""}",,,,,,,,,,,,,
271,"{""6"":""নিজের""}",,,,,,,,,,,,,
272,"{""6"":""ভাড়াটে""}",,,,,,,,,,,,,
281,"{""6"":""না""}",,,,,,,,,,,,,
280,"{""6"":""হাঁ""}",,,,,,,,,,,,,
2078,"{""6"":""জানি না / কোন তথ্য নেই""}",,,,,,,,,,,,,
2079,"{""6"":""অপ্রাপ্য""}",,,,,,,,,,,,,
282,"{""6"":""L1""}",,,,,,,,,,,,,
283,"{""6"":""L2""}",,,,,,,,,,,,,
284,"{""6"":""L3""}",,,,,,,,,,,,,
286,"{""6"":""না""}",,,,,,,,,,,,,
285,"{""6"":""হাঁ""}",,,,,,,,,,,,,
288,"{""6"":""না""}",,,,,,,,,,,,,
287,"{""6"":""হাঁ""}",,,,,,,,,,,,,
312,"{""6"":""না""}",,,,,,,,,,,,,
311,"{""6"":""হাঁ""}",,,,,,,,,,,,,
292,"{""6"":""না""}",,,,,,,,,,,,,
291,"{""6"":""হাঁ""}",,,,,,,,,,,,,
294,"{""6"":""না""}",,,,,,,,,,,,,
293,"{""6"":""হাঁ""}",,,,,,,,,,,,,
296,"{""6"":""না""}",,,,,,,,,,,,,
295,"{""6"":""হাঁ""}",,,,,,,,,,,,,
298,"{""6"":""না""}",,,,,,,,,,,,,
297,"{""6"":""হাঁ""}",,,,,,,,,,,,,
300,"{""6"":""না""}",,,,,,,,,,,,,
299,"{""6"":""হাঁ""}",,,,,,,,,,,,,
302,"{""6"":""না""}",,,,,,,,,,,,,
301,"{""6"":""হাঁ""}",,,,,,,,,,,,,
304,"{""6"":""না""}",,,,,,,,,,,,,
303,"{""6"":""হাঁ""}",,,,,,,,,,,,,
306,"{""6"":""না""}",,,,,,,,,,,,,
