ID,Code
192,"{""7"" : ""ସ୍ୱାସ୍ଥ୍ୟକେନ୍ଦ୍ରର ପ୍ରକାର""}"
193,"{""7"" : ""ସହରାଂଚଳ ସ୍ୱାସ୍ଥ୍ୟ କେନ୍ଦ୍ର ଉଲ୍ଲେଖ କର""}"
210,"{""7"" : ""ଗୃହ ନିଜସ୍ୱ/ ଭଡ଼ା""}"
211,"{""7"" : ""କାର୍ଯ୍ୟକ୍ଷମ ହେବା ଦିନଠାରୁ""}"
216,"{""7"" : ""କେତେ ଜନସଂଖ୍ୟାକୂ ସେବା ଦେଉଛି""}"
217,"{""7"" : ""ଯଦି ପ୍ରସବ ହୋଇଛି""}"
218,"{""7"" : ""ସ୍ୱତନ୍ତ୍ର ଭାବେ ନାମାଙ୍କିତ ପ୍ରସବ ସୁବିଧା ଓ ସହାୟତା ଅଛି କି""}"
219,"{""7"" : ""ଜନସାଧାରଣଙ୍କ ଦେଖିବା ପାଇଁ ବାହାରେ ପ୍ରଦର୍ଶନ କରାଯାଇଥିବା ଔଷଧର ତାଲିକା ଅଛି କି  ""}"
220,"{""7"" : ""ପରୀକ୍ଷା ଟେବୁଲ୍ ଅଛି କି?""}"
221,"{""7"" : ""ପରଦା/ ଅଲଗା ଗୃହ / ପରୀକ୍ଷା ପାଇଁ ଅଲଗା ସ୍ଥାନ ଅଛି କି?""}"
222,"{""7"" : ""ପ୍ରସବ ଟେବୁଲ ଅଛିି କି?""}"
223,"{""7"" : ""ପିଲାମାନଙ୍କ ପାଇଁ ଓଜନ ମାପକ ଯନ୍ତ୍ର ଅଛି କି?""}"
224,"{""7"" : ""ବୟସ୍କ ମାନଂକ ନିମନ୍ତେ ଓଜନ ମାପକ ଅଛି କି?  ""}"
225,"{""7"" : ""ଅସନା ନିଷ୍କାସନ ପାତ୍ର ଅଛି କି?""}"
226,"{""7"" : ""ଯନ୍ତ୍ରାଂଶକୁ ସଂକ୍ରମଣରହିତ କରିବା ପାଇଁ ଜୀବାଣୁନାଶକ ମେସିନ୍ ଅଛି କି?  ""}"
227,"{""7"" : ""ମୂତ୍ର ପରୀକ୍ଷା ସୁବିଧା ଅଛି କି?""}"
228,"{""7"" : ""କାର୍ଯ୍ୟକ୍ଷମ ରକ୍ତଚାପ ପରୀକ୍ଷା ମେସିନ୍ ଅଛି କି?""}"
229,"{""7"" : ""ଟୀକା ସଂରକ୍ଷଣ ସୁବିଧା ରହିଛି""}"
194,"{""7"" : ""ଇନ୍କ୍ୟୁବେଟର ଅଛି କି? ""}"
195,"{""7"" : ""ନବଜାତକଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର କେନ୍ଦ୍ର (ଏନ୍ବିସିସି) ଅଛି କି""}"
196,"{""7"" : ""ରୁଗ୍ଣ ନବଜାତକଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର କେନ୍ଦ୍ର (ଏସ୍ଏନ୍ସିୟୁ) ଅଛି କି""}"
197,"{""7"" : ""କାର୍ଯ୍ୟକ୍ଷମ ଏନ୍ଆର୍ସି/ ଏମଟିସି ଅଛି କି""}"
