904,Chandel ,Chandel,11- Monshangpantha,4503,Thangbung Mino
902,Chandel ,Khengjoi,Aimol Tampak constituency ,4508,Khaosat 
768,VARANASI ,HARAHUA,Aoura,4498,Aoura
773,VARANASI ,BADAGAON ,barahikala,4507,Barahikala
895,Chandel ,Chakpikarong,Chakpikarong constituency ,837,HRINGPHE Village
775,VARANASI ,PINDRA ,Ghonghali,4486,Ghonghali
777,VARANASI ,PINDRA ,jagdish pur,4487,jagdish pur
628,Bhopal,Berasia,Jhikiriya,4496,Chapariyai 
852,Sonebhadra,Robertsganj,Judouli,4501,Judouli
853,Sonebhadra,Robertsganj,Judouli,4501,Mahuariya II
900,Chandel ,Machi,Kangoi  constituency,4502,Maringphai 
1183,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,BADJOR
1186,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,BHANDARKACHHAR
1181,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,KALIPUR
1185,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,KANAKPUR
1182,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,KASTURAPADAR
1180,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,MIRMIRI
1184,KALAHANDI,GOLAMUNDA,KHALIAPALI,4505,UDEPUR
32,Raigarh,Dharamjaigarh,Koma,4492,Dhaurabari
260,Salem,Ayothipattinam,Koottathupatty,4493,Koottathupatty
791,Mahoba,Charkhari,Lohari,4500,Chhedimau
793,Mahoba,Charkhari,Lohari,4500,Lohari
790,Mahoba,Charkhari,Lohari,4500,RampuraKadeem
646,Rewa,Jawa,Madri,4497,Darha
774,VARANASI ,PINDRA ,Nehiya,4488,Nehiya
778,VARANASI ,PINDRA ,Purataghunathpur,4490,Purataghunathpur
1187,KALAHANDI,GOLAMUNDA,SINAPALI,4506,BANDAJOR
1188,KALAHANDI,GOLAMUNDA,SINAPALI,4506,TENTULIPADA
776,VARANASI ,PINDRA ,Thane Rampur ,4491,Thane Rampur 
1151,Jamui,Sadar,Thegua ,905,Lathane
997,Godda,Sundarpahari,Tilabad,4504,Amjora
1000,Godda,Sundarpahari,Tilabad,4504,Bara Kalhajhar
1001,Godda,Sundarpahari,Tilabad,4504,Chota Kalhajhar
1002,Godda,Sundarpahari,Tilabad,4504,Kusumghati
994,Godda,Sundarpahari,Tilabad,4504,Mohanpur
998,Godda,Sundarpahari,Tilabad,4504,Salodih
999,Godda,Sundarpahari,Tilabad,4504,Salpatra
995,Godda,Sundarpahari,Tilabad,4504,Tesobathan
996,Godda,Sundarpahari,Tilabad,4504,Tetariya
1003,Godda,Sundarpahari,Tilabad,4504,Tilabad
903,Chandel ,Khengjoi,Khoibu constituency,831,Kuljang 
901,Chandel ,Machi,Langol constituency,832,Tuisen
905,Chandel ,Khengjoi,Sibong constituency,840,Molpibung
921,Senapati,Tadubi,ADC,841,Christian Colony
920,Senapati,Tadubi,ADC,841,Kathikho Karong
923,Senapati,Tadubi,ADC,841,Taphou village
919,Senapati,Tadubi,ADC,841,Tutsii Ngaoni Village
1050,Godda,Boarijore,Jamujharna,859,Balajhar
