Question ID,SN,வ. எண்
,Unique Admin ID,தனித்தன்மையான அடையாள எண்
,Village / Ward,கிராமம்/வார்டு
,Hamlet/ Para/Mohalla,குக்கிராமம்
,Child ID,குழந்தையின் அடையாள எண்
,Name of child,குழந்தையின் பெயர் 
,Sex of the child,வீட்டு தலைவர்/தலைவியின் பெயர் 
325,Name of the father,தந்தையின் பெயர் 
,Name of the mother,தாயின் பெயர்
,Date of collection (Quarter1),தகவல் சேகரிக்கும் நாள்
327,Current class (Child Education) - Q1,குழந்தை தற்போது பயிலும் வகுப்பு 
328,Regular/ Irregular (Child Education) -Q1,தொடர்ந்து பள்ளிக்கு வருதல்/ஒழுங்கற்ற வருகை
329,Reasons for not in school-primary reason - Q1,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
அடிப்படை காரணங்கள் "
330,Reasons for not in school - secondary reason -Q1,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
இரண்டாம் நிலை  காரணங்கள் "
331,Reasons for not in school - tertiary reason Q1,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
மூன்றம்  நிலை  காரணங்கள் "
,Date of collection (Quarter2),தகவல் சேகரிக்கும் நாள்
,Current class (Child Education) - Q2,குழந்தை தற்போது பயிலும் வகுப்பு 
,Regular/ Irregular (Child Education) -Q2,தொடர்ந்து பள்ளிக்கு வருதல்/ஒழுங்கற்ற வருகை
,Reasons for not in school-primary reason - Q2,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
அடிப்படை காரணங்கள் "
,Reasons for not in school - secondary reason -Q2,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
இரண்டாம் நிலை  காரணங்கள் "
,Reasons for not in school - tertiary reason Q2,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
மூன்றம்  நிலை  காரணங்கள் "
,Date of collection (Quarter3),தகவல் சேகரிக்கும் நாள்
,Current class (Child Education) - Q3,குழந்தை தற்போது பயிலும் வகுப்பு 
,Regular/ Irregular (Child Education) -Q3,தொடர்ந்து பள்ளிக்கு வருதல்/ஒழுங்கற்ற வருகை
,Reasons for not in school-primary reason - Q3,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
அடிப்படை காரணங்கள் "
,Reasons for not in school - secondary reason -Q3,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
இரண்டாம் நிலை  காரணங்கள் "
,Reasons for not in school - tertiary reason Q3,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
மூன்றம்  நிலை  காரணங்கள் "
,Date of collection (Quarter4),தகவல் சேகரிக்கும் நாள்
,Current class (Child Education) - Q4,குழந்தை தற்போது பயிலும் வகுப்பு 
,Regular/ Irregular (Child Education) -Q4,தொடர்ந்து பள்ளிக்கு வருதல்/ஒழுங்கற்ற வருகை
,Reasons for not in school-primary reason - Q4,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
அடிப்படை காரணங்கள் "
,Reasons for not in school - secondary reason -Q4,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
இரண்டாம் நிலை  காரணங்கள் "
,Reasons for not in school - tertiary reason Q4,"பள்ளியில் இல்லமைக்கான காரணங்கள்-
மூன்றம்  நிலை  காரணங்கள் "
