FacilityCode,CRYLocationID,FacilityTypeID,FacilitySubTypeID,ServiceID,PartnerID,FacilityName,ThematicID,
2745101,7451,1,5,"3,4,5,8,10,11,12,13,18",CRY-52,School-Shyadri nagar-745101,108,No Location id
2745102,7451,1,5,"3,5,8,10,11,12,13,18",CRY-52,School-Shyadri nagar-745102,108,No Location id
2745203,7452,1,3,"3,4,5,8,10,11,12,13,16,18",CRY-52,School-Bhangiwada-745203,108,No Location id
2745304,7453,1,5,"1,3,4,5,8,10,11,12,13,18",CRY-52,School-Bhim nagar-745304,108,No Location id
2745305,7453,1,5,"1,3,4,5,8,10,11,13,16",CRY-52,School-Bhim nagar-745305,108,No Location id
2745406,7454,1,1,"1,3,4,5,8,10,11,12,13,16,18",CRY-52,School-Banjarwada-745406,108,No Location id
2745407,7454,1,5,"1,3,4,5,8,10,11,12,13,16,18",CRY-52,School-Banjarwada-745407,108,No Location id
2745508,7455,1,5,"1,3,4,5,8,10,11,12,13",CRY-52,School-Hanuman nagar-745508,108,No Location id
2745509,7455,1,5,"3,4,5,8,10,11,13",CRY-52,School-Hanuman nagar-745509,108,No Location id
2745610,7456,1,5,"3,4,5,8,10,11,12,13,18",CRY-52,School-Kokri agar-745610,108,No Location id
2745611,7456,1,6,"3,4,5,8,10,11,12,13,16,18",CRY-52,School-Kokri agar-745611,108,No Location id
2745612,7456,1,5,"3,4,5,8,10,11,12,13,16,18",CRY-52,School-Kokri agar-745612,108,No Location id
2745713,7457,1,5,"3,4,5,8,10,11,13,18",CRY-52,School-Ambedkar nagar-745713,108,No Location id
2745714,7457,1,5,"1,3,4,5,8,10,11,12,13,16",CRY-52,School-Ambedkar nagar-745714,108,No Location id
2846227,8462,1,8,"2,3,4,5,8,10,11,12,16,18",CRY - 67,School-Renigunta-846227,108,No Location id
2846324,8462,1,8,"1,2,3,4,5,8,10,11,12,16,18",CRY - 67,School-Renigunta-846324,108,No Location id
2750101,7501,1,5,"1,3,4,5,8,9,10,11,15,18",CRY - 46,School-Kannirajapuram-750101,108,Duplicate location id
2750102,7501,1,10,"2,3,4,5,8,9,10,11,12,15,16,18",CRY - 46,School-Kannirajapuram-750102,108,Duplicate location id
2750403,7504,1,5,"3,5,8,9,10,11,15,18",CRY - 46,School-Vellappatti-750403,108,Duplicate location id
