Form Id,Form Name,Question Id,Question Text,Choice Id,Choice Text
37,Child Annual Information,155,Name of the Father - 102---(Child Annual Information),,
37,Child Annual Information,156,Age of Father - 103---(Child Annual Information),,
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),175,
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),457,Illiterate
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),458,Class 1
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),459,Class 2
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),460,Class 3
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),461,Class 4
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),462,Class 5
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),463,Class 6
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),464,Class 7
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),465,Class 8
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),466,Class 9
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),467,Class 10
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),468,Class 11
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),469,Class 12
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),470,Graduate
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),472,Technical education
37,Child Annual Information,157,Highest class passed - Father - 104---(Child Annual Information),471,Post Graduate
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),176,Unemployed
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),177,Agricultural labour
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),473,Casual Labour
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),474,Agriculture or other worker
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),475,Self Employed
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),476,Salaried
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),477,Artisan
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),478,Domestic Work
37,Child Annual Information,158,Occupation of the father - 105---(Child Annual Information),479,Others
37,Child Annual Information,159,Name of Mother - 106---(Child Annual Information),,
37,Child Annual Information,160,Age of Mother - 107---(Child Annual Information),,
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),180,
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),480,Illiterate
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),481,Class 1
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),482,Class 2
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),483,Class 3
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),484,Class 4
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),485,Class 5
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),486,Class 6
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),487,Class 7
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),488,Class 8
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),489,Class 9
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),490,Class 10
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),491,Class 11
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),492,Class 12
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),493,Graduate
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),494,Post Graduate
37,Child Annual Information,161,Highest class passed - Mother - 108---(Child Annual Information),495,Technical Education
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),496,Agriculture or other worker
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),182,Agricultural labour
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),183,Casual Labour
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),497,Self Employed
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),498,Salaried
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),499,Artisan
37,Child Annual Information,162,Occupation of the Mother - 109---(Child Annual Information),500,Domestic Work
