
Question,Question Id,Question Type,choice Id,Choice
Type of Family,405,Radio List,885,Joint family 
Type of Family,405,Radio List,886,Nuclear  family

Highest class passed (Head of the HH),409,Select One Choice,891,Illiterate
Highest class passed (Head of the HH),409,Select One Choice,892,class1
Highest class passed (Head of the HH),409,Select One Choice,893,class2
Highest class passed (Head of the HH),409,Select One Choice,894,class3
Highest class passed (Head of the HH),409,Select One Choice,895,class4
Highest class passed (Head of the HH),409,Select One Choice,896,class5
Highest class passed (Head of the HH),409,Select One Choice,897,class6
Highest class passed (Head of the HH),409,Select One Choice,898,class7
Highest class passed (Head of the HH),409,Select One Choice,899,class8
Highest class passed (Head of the HH),409,Select One Choice,900,class9
Highest class passed (Head of the HH),409,Select One Choice,901,class10
Highest class passed (Head of the HH),409,Select One Choice,902,class11
Highest class passed (Head of the HH),409,Select One Choice,903,class12
Highest class passed (Head of the HH),409,Select One Choice,904,Graduation
Highest class passed (Head of the HH),409,Select One Choice,905,Post Graduation
Highest class passed (Head of the HH),409,Select One Choice,906,Technical or Professional Education

Caste,410,Select One Choice,907,SC
Caste,410,Select One Choice,908,ST
Caste,410,Select One Choice,909,"OBC,BC"
Caste,410,Select One Choice,910,"General,Others"

Do you have homestead land,411,Select One Choice,911,"Yes, but no legal/ official/ formal document "
Do you have homestead land,411,Select One Choice,912,"Yes, but have legal/ official/ formal document"

Type of house,412,Select One Choice,913,Pucca 
Type of house,412,Select One Choice,914,Semi Pucca
Type of house,412,Select One Choice,915,Kutcha

Religion,413,Select One Choice,916,Hindu
Religion,413,Select One Choice,917,Muslim
Religion,413,Select One Choice,918,Christian
Religion,413,Select One Choice,919,Sikh
Religion,413,Select One Choice,920,Buddhist
Religion,413,Select One Choice,921,Jain
Religion,413,Select One Choice,922,Others
Religion,413,Select One Choice,923,Dont know

Type of Ration card,414,Select One Choice,924,Above Poverty Line
Type of Ration card,414,Select One Choice,925,Below Poverty Line
Type of Ration card,414,Select One Choice,926,Others

Ration from PDS,416,Select One Choice,928,Not at all in last one year
Ration from PDS,416,Select One Choice,929,Received all the 12 months and correct amount
Ration from PDS,416,Select One Choice,930, Received all the 12 months but amount was not correct
Ration from PDS,416,Select One Choice,931, Received less than 12 months but amount was correct 
Ration from PDS,416,Select One Choice,932,"Received less than 12 months, also lesser amount"

MGNREGA JOB CARD,417,Select One Choice,933,"No, never issued"
MGNREGA JOB CARD,417,Select One Choice,934,Issued and with me
MGNREGA JOB CARD,417,Select One Choice,935,Issued not with me

Primary occupation of the family,423,Select One Choice,941, Agricultural labour 
Primary occupation of the family,423,Select One Choice,942,Casual labour and other labour work
Primary occupation of the family,423,Select One Choice,943,"Agriculture, dairy, fishery and other allied work"
Primary occupation of the family,423,Select One Choice,944,Self employed or business or  vending or trading
Primary occupation of the family,423,Select One Choice,945,Salaried 
Primary occupation of the family,423,Select One Choice,946, Artisan
Primary occupation of the family,423,Select One Choice,947,Domestic work 
Primary occupation of the family,423,Select One Choice,948,Salt Pan Working 
Primary occupation of the family,423,Select One Choice,949,Non Timber Forest Produce
Primary occupation of the family,423,Select One Choice,950,Rag Picking
Primary occupation of the family,423,Select One Choice,951,Others

If Landless,425,Radio List,953,No
If Landless,425,Radio List,954,Yes

Primary source of energy for cooking,426,Select One Choice,955,"Firewood and chips, dung cake, kerosene, charcoal, coke or c"
Primary source of energy for cooking,426,Select One Choice,956,LPG or electricity
Primary source of energy for cooking,426,Select One Choice,957,No cooking arrangement

Is there a Casserole/ thermos/ thermoware?,427,Radio List,958,No
Is there a Casserole/ thermos/ thermoware?,427,Radio List,959,Yes

Is there a TV and VCR/ VCD/ DVD player?,428,Select One Choice,960,"No, neither"
Is there a TV and VCR/ VCD/ DVD player?,428,Select One Choice,961,"Yes, only one"
Is there a TV and VCR/ VCD/ DVD player?,428,Select One Choice,962,"yes , both"

Is there a mobile handset and a telephone (landline)?,429,Select One Choice,963,"No, neither"
Is there a mobile handset and a telephone (landline)?,429,Select One Choice,964,"Yes, only a mobile"
Is there a mobile handset and a telephone (landline)?,429,Select One Choice,965,"yes, a landline regardless of moblie"

Is there a sewing machine?,430,Radio List,966,No
Is there a sewing machine?,430,Radio List,967,Yes

Is there an almeerah  or dressing table?,431,Radio List,968,No
Is there an almeerah  or dressing table?,431,Radio List,969,Yes

"Is there a bicycle, motorcycle/scooter, or motor car/jeep?",432,Select One Choice,970,None
"Is there a bicycle, motorcycle/scooter, or motor car/jeep?",432,Select One Choice,971,"Yes, bicycle only, no motorcycle or scooter, or car"
"Is there a bicycle, motorcycle/scooter, or motor car/jeep?",432,Select One Choice,972," Motorcycle or scooter, but no car "
