Form Id,Form Name,Question Id,Question Text,Choice Id,Choice Text
48,Labour and Migration,245,Name of Father - 101---(Labour and Migration),,
48,Labour and Migration,246,Name of Mother - 102---(Labour and Migration),,
48,Labour and Migration,247,Date of birth of child - 103---(Labour and Migration),,
48,Labour and Migration,248,Date of collection - 104---(Labour and Migration),,
48,Labour and Migration,249,Enrollment status - 105---(Labour and Migration),352,Yes
48,Labour and Migration,249,Enrollment status - 105---(Labour and Migration),353,No
48,Labour and Migration,250,HH Chores involvement - 106---(Labour and Migration),420,No
48,Labour and Migration,250,HH Chores involvement - 106---(Labour and Migration),422,Yes most of the time
48,Labour and Migration,250,HH Chores involvement - 106---(Labour and Migration),421,Yes somtimes
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),508,No
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),510,Yes most of the time
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),509,Yes sometimes
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),417,No
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),418,Yes sometime
48,Labour and Migration,251,HH Chores involvement - Before going to school - 107---(Labour and Migration),419,Yes most of the time
48,Labour and Migration,252,HH Chores involvement - After coming from school - 108---(Labour and Migration),360,No
48,Labour and Migration,252,HH Chores involvement - After coming from school - 108---(Labour and Migration),362,Yes Most of the time
48,Labour and Migration,252,HH Chores involvement - After coming from school - 108---(Labour and Migration),361,Yes Sometimes
48,Labour and Migration,253,Economic activities involvement - 109---(Labour and Migration),366,Yes outside home alone
48,Labour and Migration,253,Economic activities involvement - 109---(Labour and Migration),363,No
48,Labour and Migration,253,Economic activities involvement - 109---(Labour and Migration),365,Yes outside with family
48,Labour and Migration,253,Economic activities involvement - 109---(Labour and Migration),364,Yes at home
48,Labour and Migration,254,Number of hours of involvement - 110---(Labour and Migration),423,Below 3 hours
48,Labour and Migration,254,Number of hours of involvement - 110---(Labour and Migration),424,3 to 6 hours
48,Labour and Migration,254,Number of hours of involvement - 110---(Labour and Migration),425,6 to 8 hours
48,Labour and Migration,254,Number of hours of involvement - 110---(Labour and Migration),426,Above 8 hours
48,Labour and Migration,255,Number of days of involvement - 111---(Labour and Migration),427,Below 7 days
48,Labour and Migration,255,Number of days of involvement - 111---(Labour and Migration),428,7 to 15 days
48,Labour and Migration,255,Number of days of involvement - 111---(Labour and Migration),429,16 to 21 days
48,Labour and Migration,255,Number of days of involvement - 111---(Labour and Migration),430,Above 21 days
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),438,Hotels or Restaurants
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),434,Brick Klink
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),435,Carpet weaving
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),436,Constructions
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),431,Agriculture
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),439,Minning Quarries
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),440,Diamond and gems industry
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),441,Grazing
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),442,Zari Work
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),432,Domestic Work
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),433,Beeding rolling
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),445,Street Vending
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),446,Garage Work
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),447,Pollination
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),448,Other industry
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),449,Paper and milk distribution
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),450,NTFP
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),451,Fishing
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),452,Rag Picking
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),453,Begging
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),454,Others
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),455,Dont know
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),456,Not Applicable
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),444,Flower Picking
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),443,Piece meal work
48,Labour and Migration,256,Sector of work - 112---(Labour and Migration),437,Fireworks and matches factory
48,Labour and Migration,257,Specify the other sector of work - 113---(Labour and Migration),,
48,Labour and Migration,258,Bonded labour involvement - 114---(Labour and Migration),402,No
48,Labour and Migration,258,Bonded labour involvement - 114---(Labour and Migration),403,Yes
48,Labour and Migration,259,Child Migrated - 115---(Labour and Migration),404,Not migrated
48,Labour and Migration,259,Child Migrated - 115---(Labour and Migration),406,Yes with guardian
48,Labour and Migration,259,Child Migrated - 115---(Labour and Migration),408,Yes alone
48,Labour and Migration,259,Child Migrated - 115---(Labour and Migration),405,Yes with family
48,Labour and Migration,259,Child Migrated - 115---(Labour and Migration),407,Yes with person from agent
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),409,Work
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),410,Education
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),411,Social ceremonies
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),412,Accompanied parents
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),413,Dont know
48,Labour and Migration,260,Purpose of migration - 116---(Labour and Migration),414,Not applicable
48,Labour and Migration,599,Place of Migration - 117---(Labour and Migration),1465,Neighbouring Village
48,Labour and Migration,599,Place of Migration - 117---(Labour and Migration),1466,Another Village in the district
48,Labour and Migration,599,Place of Migration - 117---(Labour and Migration),1467,Another District in the state
48,Labour and Migration,599,Place of Migration - 117---(Labour and Migration),1468,Neighbouring State
48,Labour and Migration,599,Place of Migration - 117---(Labour and Migration),1469,Distant
