
Question,Question Id,Question Type,choice Id,Choice
Highest class husband passed,559,Select One Choice,1318,Illiterate
Highest class husband passed,559,Select One Choice,1319,Class 1
Highest class husband passed,559,Select One Choice,1320,Class 2
Highest class husband passed,559,Select One Choice,1321,Class 4
Highest class husband passed,559,Select One Choice,1322,Class 5
Highest class husband passed,559,Select One Choice,1323,Class 6
Highest class husband passed,559,Select One Choice,1324,Class 7
Highest class husband passed,559,Select One Choice,1325,Class 8
Highest class husband passed,559,Select One Choice,1326,Class 9
Highest class husband passed,559,Select One Choice,1327,Class 10
Highest class husband passed,559,Select One Choice,1328,Class 11
Highest class husband passed,559,Select One Choice,1329,Class 12
Highest class husband passed,559,Select One Choice,1330,Graduate
Highest class husband passed,559,Select One Choice,1331,Post Graduate
Highest class husband passed,559,Select One Choice,1332,Technical / Professional Education

Occupation of the Husband,560,Select One Choice,1334,Unemployed
Occupation of the Husband,560,Select One Choice,1335,Agricultural labour
Occupation of the Husband,560,Select One Choice,1336,Casual labour and other labour work
Occupation of the Husband,560,Select One Choice,1337,Agriculture/ dairy/ fishery and other allied work
Occupation of the Husband,560,Select One Choice,1338,Self employed/ business/ vending/ trading
Occupation of the Husband,560,Select One Choice,1339,Salaried Government/ Private
Occupation of the Husband,560,Select One Choice,1340,Artisan
Occupation of the Husband,560,Select One Choice,1341,Domestic work
Occupation of the Husband,560,Select One Choice,1342,Others

Highest class passed - mother,561,Select One Choice,1343,Illiterate
Highest class passed - mother,561,Select One Choice,1344,Class 1
Highest class passed - mother,561,Select One Choice,1345,Class 2
Highest class passed - mother,561,Select One Choice,1346,Class 3
Highest class passed - mother,561,Select One Choice,1347,Class 4
Highest class passed - mother,561,Select One Choice,1348,Class 5
Highest class passed - mother,561,Select One Choice,1349,Class 6
Highest class passed - mother,561,Select One Choice,1350,Class 7
Highest class passed - mother,561,Select One Choice,1351,Class 8
Highest class passed - mother,561,Select One Choice,1352,Class 9
Highest class passed - mother,561,Select One Choice,1353,Class 10
Highest class passed - mother,561,Select One Choice,1354,Class 11
Highest class passed - mother,561,Select One Choice,1355,Class 12
Highest class passed - mother,561,Select One Choice,1356,Graduate
Highest class passed - mother,561,Select One Choice,1357,Post Graduate
Highest class passed - mother,561,Select One Choice,1358,Technical/Professional Education

Residential Status,562,Select One Choice,1359,From this village only and stays in the village
Residential Status,562,Select One Choice,1360,From other village and shifted this location
Residential Status,562,Select One Choice,1361,Migrated out of the village to another place
Residential Status,562,Select One Choice,1362,Migrated permanently out of the village to another place

Month of in migration or out migration,563,Select One Choice,1364,January
Month of in migration or out migration,563,Select One Choice,1365,Feburary
Month of in migration or out migration,563,Select One Choice,1366,March
Month of in migration or out migration,563,Select One Choice,1367,April
Month of in migration or out migration,563,Select One Choice,1368,May
Month of in migration or out migration,563,Select One Choice,1369,June
Month of in migration or out migration,563,Select One Choice,1370,July
Month of in migration or out migration,563,Select One Choice,1371,August
Month of in migration or out migration,563,Select One Choice,1372,September
Month of in migration or out migration,563,Select One Choice,1373,October
Month of in migration or out migration,563,Select One Choice,1374,November
Month of in migration or out migration,563,Select One Choice,1375,December

Received post natal care within 24 hours,567,Radio List,1381,Yes
Received post natal care within 24 hours,567,Radio List,1382,No

Colostrum feeding,568,Radio List,1383,No
Colostrum feeding,568,Radio List,1384,Yes
Colostrum feeding,568,Radio List,1385,Not Applicable

