
Question,Question Id,Question Type,choice Id,Choice
Highest Class passed Husband,456,Select One Choice,1066,Illiterate
Highest Class passed Husband,456,Select One Choice,1067,Class 1
Highest Class passed Husband,456,Select One Choice,1068,Class 2
Highest Class passed Husband,456,Select One Choice,1069,Class 3
Highest Class passed Husband,456,Select One Choice,1070,Class 4
Highest Class passed Husband,456,Select One Choice,1071,Class 5
Highest Class passed Husband,456,Select One Choice,1072,Class 6
Highest Class passed Husband,456,Select One Choice,1073,Class 7
Highest Class passed Husband,456,Select One Choice,1074,Class 8
Highest Class passed Husband,456,Select One Choice,1075,Class 9
Highest Class passed Husband,456,Select One Choice,1076,Class 10
Highest Class passed Husband,456,Select One Choice,1077,Class 11
Highest Class passed Husband,456,Select One Choice,1078,Class 12
Highest Class passed Husband,456,Select One Choice,1079,Graduate
Highest Class passed Husband,456,Select One Choice,1080,Post Graduate
Highest Class passed Husband,456,Select One Choice,1081,Technical/Professional Education

Occupation of Husband,457,Select One Choice,1083,Unemployed
Occupation of Husband,457,Select One Choice,1084, Agricultural labour
Occupation of Husband,457,Select One Choice,1085,Casual labour and other labour work
Occupation of Husband,457,Select One Choice,1086,Agriculture/ dairy/ fishery and other allied work
Occupation of Husband,457,Select One Choice,1087,Self employed/ business/ vending/ trading
Occupation of Husband,457,Select One Choice,1088,Salaried 
Occupation of Husband,457,Select One Choice,1089,Artisan
Occupation of Husband,457,Select One Choice,1090,Domestic work
Occupation of Husband,457,Select One Choice,1091,Others

Highest class passed - Mother,459,Select One Choice,1093,Illiterate
Highest class passed - Mother,459,Select One Choice,1094,Class 1
Highest class passed - Mother,459,Select One Choice,1095,Class 2
Highest class passed - Mother,459,Select One Choice,1096,Class 3
Highest class passed - Mother,459,Select One Choice,1097,Class 4
Highest class passed - Mother,459,Select One Choice,1098,Class 5
Highest class passed - Mother,459,Select One Choice,1099,Class 6
Highest class passed - Mother,459,Select One Choice,1100,Class 7
Highest class passed - Mother,459,Select One Choice,1101,Class 8
Highest class passed - Mother,459,Select One Choice,1102,Class 9
Highest class passed - Mother,459,Select One Choice,1103,Class 10
Highest class passed - Mother,459,Select One Choice,1104,Class 11
Highest class passed - Mother,459,Select One Choice,1105,Class 12
Highest class passed - Mother,459,Select One Choice,1106,Graduate
Highest class passed - Mother,459,Select One Choice,1107,Post Graduate
Highest class passed - Mother,459,Select One Choice,1108,Technical/Professional Education

Occupation of the mother,460,Select One Choice,1109,Unemployed
Occupation of the mother,460,Select One Choice,1110,Agricultural labour
Occupation of the mother,460,Select One Choice,1111,Casual labour and other labour work
Occupation of the mother,460,Select One Choice,1112,Agriculture/ dairy/ fishery and other allied work
Occupation of the mother,460,Select One Choice,1113,Self employed/ business/ vending/ trading
Occupation of the mother,460,Select One Choice,1114,Salaried
Occupation of the mother,460,Select One Choice,1115,Artisan
Occupation of the mother,460,Select One Choice,1116,Domestic work
Occupation of the mother,460,Select One Choice,1117,Others

Residential Status,461,Select One Choice,1118,From this village only and stays in the village
Residential Status,461,Select One Choice,1119,From other village and shifted this location
Residential Status,461,Select One Choice,1120,Migrated out of the village to another place
Residential Status,461,Select One Choice,1121,Migrated permanently out of the village to another place 

Month of in migration or out migration,462,Select One Choice,1123,January
Month of in migration or out migration,462,Select One Choice,1124,Feburary
Month of in migration or out migration,462,Select One Choice,1125,March
Month of in migration or out migration,462,Select One Choice,1126,April
Month of in migration or out migration,462,Select One Choice,1127,May
Month of in migration or out migration,462,Select One Choice,1128,June
Month of in migration or out migration,462,Select One Choice,1129,July
Month of in migration or out migration,462,Select One Choice,1130,August
Month of in migration or out migration,462,Select One Choice,1131,September
Month of in migration or out migration,462,Select One Choice,1132,October
Month of in migration or out migration,462,Select One Choice,1133,November
Month of in migration or out migration,462,Select One Choice,1134,December

MCP/MCH Card made?,463,Radio List,1135,Yes
MCP/MCH Card made?,463,Radio List,1136,No

MCP/MCH card available,465,Radio List,1138,Yes
MCP/MCH card available,465,Radio List,1139,No

Whether registered in 3 months of preganancy,469,Radio List,1143,Yes
Whether registered in 3 months of preganancy,469,Radio List,1144,No

"If no,Reason for not registering in 3 months",471,Select One Choice,1146,Mother identified late as pregnant
"If no,Reason for not registering in 3 months",471,Select One Choice,1147,Mother Could not contact ANM Hospital
"If no,Reason for not registering in 3 months",471,Select One Choice,1148,ANM not available
"If no,Reason for not registering in 3 months",471,Select One Choice,1149,Other reasons

1st ANC ,479,Select One Choice,1157,Done
1st ANC ,479,Select One Choice,1158,"Not Done, Service not given"
1st ANC ,479,Select One Choice,1159,Mother Migrated
1st ANC ,479,Select One Choice,1160,Dont Know/ No information
1st ANC ,479,Select One Choice,1161,Not applicable

1st ANC Urine Albumin,486,Radio List,1169,Yes
1st ANC Urine Albumin,486,Radio List,1170,No

1st ANC Urine Sugar,487,Radio List,1171,Yes
1st ANC Urine Sugar,487,Radio List,1172,No

1st ANC IFA Tablets received,488,Radio List,1173,Yes
1st ANC IFA Tablets received,488,Radio List,1174,No

1st ANC IFA tablets consumed,489,Radio List,1175,Yes
1st ANC IFA tablets consumed,489,Radio List,1176,No

1st ANC Abdominal examination,490,Radio List,1177,Yes
1st ANC Abdominal examination,490,Radio List,1178,No

1st ANC Identified as High Risk,491,Select One Choice,1179,Yes
1st ANC Identified as High Risk,491,Select One Choice,1180,No
1st ANC Identified as High Risk,491,Select One Choice,1181,Not Applicable

1st ANC High Risk Referred,492,Radio List,1182,Yes
1st ANC High Risk Referred,492,Radio List,1183,No

1st ANC supplementary nutrition available,493,Select One Choice,1184,No not at all
1st ANC supplementary nutrition available,493,Select One Choice,1185,Yes irregular
1st ANC supplementary nutrition available,493,Select One Choice,1186,Yes regular
1st ANC supplementary nutrition available,493,Select One Choice,1187,Not applicable

MCP/MCH card updated 1st trimester,494,Radio List,1188,Yes
MCP/MCH card updated 1st trimester,494,Radio List,1189,No

2nd ANC,495,Select One Choice,1190,Done
2nd ANC,495,Select One Choice,1191,"Not Done, Service not given"
2nd ANC,495,Select One Choice,1192,Mother Migrated
2nd ANC,495,Select One Choice,1193,Dont Know / No information
2nd ANC,495,Select One Choice,1194,Not applicable

2nd ANC Urine Albumin,500,Radio List,1199,Yes
2nd ANC Urine Albumin,500,Radio List,1200,No

2nd ANC Urine sugar,501,Radio List,1201,Yes
2nd ANC Urine sugar,501,Radio List,1202,No

2nd ANC IFA Tablets received,502,Radio List,1203,Yes
2nd ANC IFA Tablets received,502,Radio List,1204,No

2nd ANC IFA tablets consumed,503,Radio List,1205,Yes
2nd ANC IFA tablets consumed,503,Radio List,1206,No

