
Question,Question Id,Question Type,choice Id,Choice
Rural or Urban,340,Radio List,1042,Urban
Rural or Urban,340,Radio List,1043,Rural

Primary school available,341,Radio List,715,"No, Not in the hamlet"
Primary school available,341,Radio List,1041,"Yes , in the Village"

Lowest class in Primary School,343,Radio List,1044,Class 1
Lowest class in Primary School,343,Radio List,1045,Class 2
Lowest class in Primary School,343,Radio List,1046,Class 3
Lowest class in Primary School,343,Radio List,1047,Class 4
Lowest class in Primary School,343,Radio List,1048,Class 5

Highest class in Primary School,344,Radio List,1049,Class 6
Highest class in Primary School,344,Radio List,1050,Class 7
Highest class in Primary School,344,Radio List,1051,Class 8

Category of Primary School,345,Select One Choice,1052,Government / Local bodies
Category of Primary School,345,Select One Choice,1053,Private

Barriers for accessing Primary School,347,Select One Choice,701,No barrier
Barriers for accessing Primary School,347,Select One Choice,702,Near to the upper class hamlet
Barriers for accessing Primary School,347,Select One Choice,703,Far from the Village
Barriers for accessing Primary School,347,Select One Choice,704,On the main road
Barriers for accessing Primary School,347,Select One Choice,705,Across the road or Traffic
Barriers for accessing Primary School,347,Select One Choice,706,In or Near to market
Barriers for accessing Primary School,347,Select One Choice,707,Across the forest or hill
Barriers for accessing Primary School,347,Select One Choice,708,Across the stream or river
Barriers for accessing Primary School,347,Select One Choice,709,Near the graveyard
Barriers for accessing Primary School,347,Select One Choice,710,Classes in open
Barriers for accessing Primary School,347,Select One Choice,711,Across the railway track
Barriers for accessing Primary School,347,Select One Choice,712,Near Bar and Restaurant
Barriers for accessing Primary School,347,Select One Choice,713,Near Religious structure
Barriers for accessing Primary School,347,Select One Choice,714,Others

Upper Primary school available,349,Radio List,717,"NO, not in the village or Hamlet"
Upper Primary school available,349,Radio List,718,"Yes, in the village/hamlet"

Lowest class in upper primary school,351,Select One Choice,1054,Class 6
Lowest class in upper primary school,351,Select One Choice,1055,Class 7
Lowest class in upper primary school,351,Select One Choice,1056,Class 8

Highest class in upper primary school,352,Select One Choice,723,class 6
Highest class in upper primary school,352,Select One Choice,724,class 7
Highest class in upper primary school,352,Select One Choice,725,class 8

Category of upper primary school,353,Select One Choice,726,Government or Loacl Bodies
Category of upper primary school,353,Select One Choice,727,Private

Barriers for accessing upper primary school,355,Select One Choice,729,No barrier
Barriers for accessing upper primary school,355,Select One Choice,730,Near upper class hamle
Barriers for accessing upper primary school,355,Select One Choice,731,Far off from the village
Barriers for accessing upper primary school,355,Select One Choice,732,On the main road
Barriers for accessing upper primary school,355,Select One Choice,733,Across the road  or Traffic
Barriers for accessing upper primary school,355,Select One Choice,734,In or near to market
Barriers for accessing upper primary school,355,Select One Choice,735,Across the forest or  hill
Barriers for accessing upper primary school,355,Select One Choice,736,Across the stream or  river
Barriers for accessing upper primary school,355,Select One Choice,737,Near the graveyard
Barriers for accessing upper primary school,355,Select One Choice,738,Classes in open
Barriers for accessing upper primary school,355,Select One Choice,739,across the Railway track
Barriers for accessing upper primary school,355,Select One Choice,740,Near Bar and Restaurant
Barriers for accessing upper primary school,355,Select One Choice,741,Near Religious Structure
Barriers for accessing upper primary school,355,Select One Choice,742,Others

Secondary school available,357,Radio List,744,"No, not in the vilaage or Hamlet"
Secondary school available,357,Radio List,745,"Yes, in the village or Hamlet"

Lowest class in secondary school,359,Select One Choice,747,class 9
Lowest class in secondary school,359,Select One Choice,748,class 10

Highest class in secondary school,360,Select One Choice,749,class 9
Highest class in secondary school,360,Select One Choice,750,class 10

Category of secondary school,361,Select One Choice,751,Government or Local Bodies
Category of secondary school,361,Select One Choice,752,Private

Barriers for accessing secondary school,363,Select One Choice,754,No barrier
Barriers for accessing secondary school,363,Select One Choice,755,Near upper class hamlet
Barriers for accessing secondary school,363,Select One Choice,756,Far off from the village
Barriers for accessing secondary school,363,Select One Choice,757,On the main road
Barriers for accessing secondary school,363,Select One Choice,758,Across the road or Traffic
Barriers for accessing secondary school,363,Select One Choice,759,In or  near to market
Barriers for accessing secondary school,363,Select One Choice,760,Across the forest or  hill
Barriers for accessing secondary school,363,Select One Choice,761,Across the stream or river
Barriers for accessing secondary school,363,Select One Choice,762,Near the graveyard
Barriers for accessing secondary school,363,Select One Choice,763,Classes in open
Barriers for accessing secondary school,363,Select One Choice,764,Across the Railway track
Barriers for accessing secondary school,363,Select One Choice,765,Near Bar and Restaurant
Barriers for accessing secondary school,363,Select One Choice,766,Near Religious Structure
Barriers for accessing secondary school,363,Select One Choice,767,Others

Higher Secondary school available,365,Radio List,769,"No, not in the village or Hamlet"
Higher Secondary school available,365,Radio List,770,"Yes, in the village or Hamlet"

Lowest class in higher secondary school,367,Select One Choice,772,class 11
Lowest class in higher secondary school,367,Select One Choice,773,class 12

Highest class in higher secondary school,368,Select One Choice,774,class 11
Highest class in higher secondary school,368,Select One Choice,775,class 12

Category of higher secondary school,369,Select One Choice,776,Government or Local Bodies
Category of higher secondary school,369,Select One Choice,777,Private

Barriers for accessing higher secondary school,371,Select One Choice,779,No barrier
Barriers for accessing higher secondary school,371,Select One Choice,780,Near upper class hamlet
Barriers for accessing higher secondary school,371,Select One Choice,781, Far off from the village
Barriers for accessing higher secondary school,371,Select One Choice,782,On the main road
Barriers for accessing higher secondary school,371,Select One Choice,783,Across the road  or Traffic
Barriers for accessing higher secondary school,371,Select One Choice,784,In or near to market
Barriers for accessing higher secondary school,371,Select One Choice,785,Across the forest or hill
Barriers for accessing higher secondary school,371,Select One Choice,786,Across the stream or  river
Barriers for accessing higher secondary school,371,Select One Choice,787,Near the graveyard
Barriers for accessing higher secondary school,371,Select One Choice,788,Classes in open
