Lactating Mothers
Form Id,Form Name,Question Id,Question Text
60,Lactating Mothers,557,Name of the Husband
60,Lactating Mothers,558,Age of Husband
60,Lactating Mothers,559,Highest class husband passed
60,Lactating Mothers,560,Occupation of the Husband
60,Lactating Mothers,561,Highest class passed - mother
60,Lactating Mothers,562,Residential Status
60,Lactating Mothers,563,Month of in migration or out migration
60,Lactating Mothers,567,Received post natal care within 24 hours
60,Lactating Mothers,568,Colostrum feeding
60,Lactating Mothers,569,2nd visit by ANM/ AWW/ASHA
60,Lactating Mothers,570,3rd visit by ANM/ AWW/ASHA
60,Lactating Mothers,571,4th visit by ANM/ AWW/ASHA
60,Lactating Mothers,572,Received complete post natal care and advice
60,Lactating Mothers,573,Additional visit - 14th Day
60,Lactating Mothers,574,Additional visit - 21st Day
60,Lactating Mothers,575,Additional visit - 28th Day
60,Lactating Mothers,576,Supplementary nutrition - Post Natal: 1- 3 months
60,Lactating Mothers,577,Exclusive Breast Feeding: 0 - 3 months
60,Lactating Mothers,578,Supplementary nutrition - Post Natal: 4 - 6 months
60,Lactating Mothers,579,Exclusive Breast Feeding: 4 - 6 months
60,Lactating Mothers,580,Complementary feeding
60,Lactating Mothers,581,Enrolled in AWC
60,Lactating Mothers,582,Anganwaadi Centre ID
""
School Education Retention
Form Id,Form Name,Question Id,Question Text
51,School Education Retention,325,Name of Father
51,School Education Retention,326,Date of Collection
51,School Education Retention,327,Current Class
51,School Education Retention,328,Regular or Irregular
51,School Education Retention,329,Reason for not in school - primary reason
51,School Education Retention,330,Secondary reason for not in school
51,School Education Retention,331,Tertiary reason for not in school
""
Child Vaccination and Immuniza
Form Id,Form Name,Question Id,Question Text
49,Child Vaccination and Immuniza,264,Name of the Father
49,Child Vaccination and Immuniza,265,Name of Mother
49,Child Vaccination and Immuniza,268,Date of birth of Child
49,Child Vaccination and Immuniza,269,MCP MCH card made
49,Child Vaccination and Immuniza,270,MCP MCH card available
49,Child Vaccination and Immuniza,271,BCG at birth
49,Child Vaccination and Immuniza,272,BCG Date 
49,Child Vaccination and Immuniza,273,Hepatitis B 0 (At Birth)
49,Child Vaccination and Immuniza,274,Hepatitis B 0 Date
49,Child Vaccination and Immuniza,275,"OPV - 0 ( for polio, At Birth)"
49,Child Vaccination and Immuniza,276,OPV - 0 - Date
49,Child Vaccination and Immuniza,277,OPV - 1 (at 1.5 months)
49,Child Vaccination and Immuniza,278,Opv - 1- Date 
49,Child Vaccination and Immuniza,279,DPT - 1 (at 1.5 months)
49,Child Vaccination and Immuniza,280,DPT - 1 - Date 
49,Child Vaccination and Immuniza,281,Hepatitis B 1 (at 1.5 months)
49,Child Vaccination and Immuniza,282,Hepatitis B 1 - Date
49,Child Vaccination and Immuniza,283,OPV - 2 (At 2.5 months)
49,Child Vaccination and Immuniza,284,OPV - 2 Date
49,Child Vaccination and Immuniza,285,DPT - 2 (At 2.5 months)
49,Child Vaccination and Immuniza,286,DPT - 2 Date
49,Child Vaccination and Immuniza,287,Hepatitis B 2 (At 2.5 months)
49,Child Vaccination and Immuniza,288,Hepatitis B 2 Date
49,Child Vaccination and Immuniza,289,OPV - 3 (At 3.5 months)
49,Child Vaccination and Immuniza,290,OPV - 3 Date
49,Child Vaccination and Immuniza,291,DPT - 3 (At 3.5 months)
49,Child Vaccination and Immuniza,292,DPT - 3 Date
49,Child Vaccination and Immuniza,293,Hepatitis B 3 (At 3.5 months)
49,Child Vaccination and Immuniza,294,Hepatitis B 3 Date
49,Child Vaccination and Immuniza,295,Pentavalent - 1
49,Child Vaccination and Immuniza,296,Pentavalent - 1 Date
49,Child Vaccination and Immuniza,605,Pentavalent - 2
49,Child Vaccination and Immuniza,606,Pentavalent - 2 Date
49,Child Vaccination and Immuniza,297,Pentavalent - 3
49,Child Vaccination and Immuniza,298,Pentavalent - 3 Date
49,Child Vaccination and Immuniza,301,Vitamin A (1st dose at 9 months)
49,Child Vaccination and Immuniza,302,Vitamin A Date
49,Child Vaccination and Immuniza,299,Measles (At 9 months)
49,Child Vaccination and Immuniza,300,Measles - Date
49,Child Vaccination and Immuniza,303,Full immunization
""
Labour and Migration
Form Id,Form Name,Question Id,Question Text
48,Labour and Migration,245,Name of Father
48,Labour and Migration,246,Name of Mother
48,Labour and Migration,247,Date of birth of child
48,Labour and Migration,248,Date of collection
48,Labour and Migration,249,Enrollment status
48,Labour and Migration,250,HH Chores involvement
48,Labour and Migration,251,HH Chores involvement - Before going to school
48,Labour and Migration,252,HH Chores involvement - After coming from school
48,Labour and Migration,253,Economic activities involvement
