Lactating Mothers
Form Id,Form Name,Question Id,Question Text,Choice Id,Choice Text
60,Lactating Mothers,557,Name of the Husband,,
60,Lactating Mothers,558,Age of Husband,,
60,Lactating Mothers,559,Highest class husband passed,1318,Illiterate
60,Lactating Mothers,559,Highest class husband passed,1319,Class 1
60,Lactating Mothers,559,Highest class husband passed,1320,Class 2
60,Lactating Mothers,559,Highest class husband passed,1321,Class 4
60,Lactating Mothers,559,Highest class husband passed,1322,Class 5
60,Lactating Mothers,559,Highest class husband passed,1323,Class 6
60,Lactating Mothers,559,Highest class husband passed,1324,Class 7
60,Lactating Mothers,559,Highest class husband passed,1325,Class 8
60,Lactating Mothers,559,Highest class husband passed,1326,Class 9
60,Lactating Mothers,559,Highest class husband passed,1327,Class 10
60,Lactating Mothers,559,Highest class husband passed,1328,Class 11
60,Lactating Mothers,559,Highest class husband passed,1329,Class 12
60,Lactating Mothers,559,Highest class husband passed,1330,Graduate
60,Lactating Mothers,559,Highest class husband passed,1331,Post Graduate
60,Lactating Mothers,559,Highest class husband passed,1332,Technical / Professional Education
60,Lactating Mothers,560,Occupation of the Husband,1334,Unemployed
60,Lactating Mothers,560,Occupation of the Husband,1335,Agricultural labour
60,Lactating Mothers,560,Occupation of the Husband,1336,Casual labour and other labour work
60,Lactating Mothers,560,Occupation of the Husband,1337,Agriculture/ dairy/ fishery and other allied work
60,Lactating Mothers,560,Occupation of the Husband,1338,Self employed/ business/ vending/ trading
60,Lactating Mothers,560,Occupation of the Husband,1339,Salaried Government/ Private
60,Lactating Mothers,560,Occupation of the Husband,1340,Artisan
60,Lactating Mothers,560,Occupation of the Husband,1341,Domestic work
60,Lactating Mothers,560,Occupation of the Husband,1342,Others
60,Lactating Mothers,561,Highest class passed - mother,1343,Illiterate
60,Lactating Mothers,561,Highest class passed - mother,1344,Class 1
60,Lactating Mothers,561,Highest class passed - mother,1345,Class 2
60,Lactating Mothers,561,Highest class passed - mother,1346,Class 3
60,Lactating Mothers,561,Highest class passed - mother,1347,Class 4
60,Lactating Mothers,561,Highest class passed - mother,1348,Class 5
60,Lactating Mothers,561,Highest class passed - mother,1349,Class 6
60,Lactating Mothers,561,Highest class passed - mother,1350,Class 7
60,Lactating Mothers,561,Highest class passed - mother,1351,Class 8
60,Lactating Mothers,561,Highest class passed - mother,1352,Class 9
60,Lactating Mothers,561,Highest class passed - mother,1353,Class 10
60,Lactating Mothers,561,Highest class passed - mother,1354,Class 11
60,Lactating Mothers,561,Highest class passed - mother,1355,Class 12
60,Lactating Mothers,561,Highest class passed - mother,1356,Graduate
60,Lactating Mothers,561,Highest class passed - mother,1357,Post Graduate
60,Lactating Mothers,561,Highest class passed - mother,1358,Technical/Professional Education
60,Lactating Mothers,562,Residential Status,1359,From this village only and stays in the village
60,Lactating Mothers,562,Residential Status,1360,From other village and shifted this location
60,Lactating Mothers,562,Residential Status,1361,Migrated out of the village to another place
60,Lactating Mothers,562,Residential Status,1362,Migrated permanently out of the village to another place
60,Lactating Mothers,563,Month of in migration or out migration,1364,January
60,Lactating Mothers,563,Month of in migration or out migration,1365,Feburary
60,Lactating Mothers,563,Month of in migration or out migration,1366,March
60,Lactating Mothers,563,Month of in migration or out migration,1367,April
60,Lactating Mothers,563,Month of in migration or out migration,1368,May
60,Lactating Mothers,563,Month of in migration or out migration,1369,June
60,Lactating Mothers,563,Month of in migration or out migration,1370,July
60,Lactating Mothers,563,Month of in migration or out migration,1371,August
60,Lactating Mothers,563,Month of in migration or out migration,1372,September
60,Lactating Mothers,563,Month of in migration or out migration,1373,October
60,Lactating Mothers,563,Month of in migration or out migration,1374,November
60,Lactating Mothers,563,Month of in migration or out migration,1375,December
60,Lactating Mothers,567,Received post natal care within 24 hours,1381,Yes
60,Lactating Mothers,567,Received post natal care within 24 hours,1382,No
60,Lactating Mothers,567,Received post natal care within 24 hours,1530,Not applicable
60,Lactating Mothers,568,Colostrum feeding,1383,No
60,Lactating Mothers,568,Colostrum feeding,1384,Yes
60,Lactating Mothers,568,Colostrum feeding,1385,Not Applicable
60,Lactating Mothers,569,2nd visit by ANM/ AWW/ASHA,1386,No
60,Lactating Mothers,569,2nd visit by ANM/ AWW/ASHA,1387,Yes
60,Lactating Mothers,569,2nd visit by ANM/ AWW/ASHA,1388,Not Applicable
60,Lactating Mothers,570,3rd visit by ANM/ AWW/ASHA,1389,No
60,Lactating Mothers,570,3rd visit by ANM/ AWW/ASHA,1390,Yes
60,Lactating Mothers,570,3rd visit by ANM/ AWW/ASHA,1391,Not Applicable
